en;ru;uk;translation_key;output_channel
SMS;SMS;SMS;authfactorcreate_SMS;W
Demand filter settings;Настройки фильтра заявлений;Налаштування фільтру заяв;demand_filter;W
Creating a City;Создание Города;Створення міста;creatingCity;W
Chief accountant;Гл. бухгалтер;Гол.бухгалтер;paymentOrder_payerChiefAccountant;W
Correspondent bank account;Корреспондентский счёт банка;Кореспондуючий рахунок банку;banks_correspondentBankAccount;W
Contract date;Дата контракта;Дата контракту;common_contractDate;W
Login after;Вход с;Вхід з;companyperson_validfrom;W
Agent bank name;Наименование Банка Посредника;Назва Банку Посередника;intTransfer_agentBankName;W
Blocked;Блокирован;Заблокований;common_blocked;W
Client data;Клиентские данные;Клієнтські дані;clientData;W
All users selected;Все пользователи выбраны;Всі користувачі обрані;customeruser_allselected;W
OK;Применить;Застосувати;common_ok;W
Operations with the Card type;Действия;Дія;operationsWithCardType;W
users selected;пользователя выбрано;Користувача обрано;customeruser_X4selected;W
Force password change;Сменить пароль;Змінити пароль;customeruser_forcePasswordChange;W
Fix amount;Зафиксировать сумму;Зафіксувати суму;fix_amount;W
Updating error. Is it a duplicate?;Ошибка при обновлении. Возможно это дубликат?;Помилка при оновленні. Можливо це дублікат?;updatingCalendarError;W
Cannot make certificate request to the VC;Ошибка при запросе на Удостоверяющий Центр;Помилка при запиті до Центру підтвердження;vcReqError;W
Counterparty bank requisites;Реквизиты Банка контрагента;Реквізити Банку контрагента;counterparty_bankRequisites;W
Events to;События до;Події до;events_eventsto;W
Viewing and editing the Notification type;Просмотр и редактирование типа уведомления;Перегляд і редагування типу повідомлення;viewingEditingNotificationType;W
Payroll refund;Возврат по зарплатному отчислению;Повернення по зарплатному відрахуванню;refunds.payroll;W
Версия броузера;Версия броузера;Версія браузера;events_browser;W
Details / Edit;Просмотр деталей / редактировать;Перегляд  деталей / редагувати;common_detailsEdit;W
Delivery Point;Точка доставки;Адреса доставки;demandType_delivery;W
Sender's name or tax code;Наименование или ИИН/БИН организации отправителя;Назва або ІПН/БІН підприємства відправника;refunds.filter.sender;W
Permissions;Настройка доступа;Налаштування доступу;navigation_permissions;W
Create new category;Создать новую категорию;Створити нову категорію;CodeCategory_createNewCategory;W
User type;Тип пользователя;Тип користувача;events_usertype;W
Include VAT (12%);C НДС (12%);C НДС (12%);paymentOrder_vat12;W
The card blocking history;История блокировок карты;Історія блокувань карти;cardBlockingHistory;W
View/Edit Social Template;Просмотр/Редактирование Шаблона  Социального отчисления;Перегляд / Редагування Шаблону Соціального відрахування;paymentOrder_viewEditSocialTemplate;W
Bank account;Кор. счет Банка;Кор.рахунок Банку;counterparty_bankAccount;W
Code VO;Код VO;Код VO;intTransfer_codeVo;W
Viewwing and editing Card Type;Просмотр и редактирование Вида карт;Перегляд і редагування Вида карт;viewingAndEditingCardType;W
Synchronized successful!;Синхронизировано успешно!;Синхронізовано успішно!;syncSuccessful;W
Exit;Выход;Вихід;login_exit;W
View International transfer;Просмотр международного перевода валюты;Перегляд міжнародного переводу валюти;intTransfer_view;W
Operations;Действия;Дія;common_depositOperations;W
System Job;Задачи;Завдання;system_job;W
Start date;Начиная с даты;Починаючи з дати;standing.order.from.date;W
Filter settings;Настройки фильтра пользователей;Налаштування фільтру користувачів;customerUser_filtertitle;W
Jobs history;История по задачам;Історія задач;navigation_jobs_history;W
Filter settings;Настройки фильтра;Налаштування фільтру;common.filter.settings;W
Wrong code;Неправильный код;Невірний код;paymentOrder_valid_wrongCode;W
Receiver's name or tax code;Наименование или ИИН/БИН организации получателя;Назва або ІПН/БІН підприємства отримувача;refunds.filter.receiver;W
Receivers account;Счет получателя;Рахунок отримувача;domTransfer_receiverAccount;W
invoice date;Дата инвойса;Дата інвойсу;intTransfer_invoiceDate;W
Edit authorized preson:;Редактирование параметров уполномоченного лица:;Редагування параметрів уповноваженої особи;companyPersonEdit_title;W
Create International transfer;Создать международный перевод валюты;Створити міжнародний перевод валюти;intTransfer_create;W
в строке;в строке;в рядку;payment.import.result.document.line.number;W
Base document number;№ основного документа;№ основного документу;withdraw_doc_num;W
Managers;Менеджеры;Менеджери;organizations_managers;W
In processing;В процессе обработки;В процесі обробки ;common_inProcessing;W
Sign right;Признак права подписи от имени банка;Ознака права підпису від імені банку;manager_isBankSign;W
KPP;КПП;КПП;intTransfer_recipientKpp;W
Import messages;Сообщения импорта;Повідомлення імпорту;upload_documentForUpload;W
from;От;Від;common_from;W
Managers list;Список менеджеров;Список менеджерів;managers_title;W
Follow;Важен;Важлилий;signingrules_inorder;W
Comment;Комментарий;Коментар;events_comment;W
Creating a Card Type;Создание Вида карт;Створення виду карт;creatingCardType;W
Are you sure you want to delete the Document status;Вы действительно хотите удалить Статус документа;Ви дійсно бажаєте видалити Статус документу;sureYouWantDeleteDocStatus;W
Post address;Почтовый адрес;Поштова адреса;postAddress;W
Account Details;Детали счёта;Деталі рахунку;common_accountDetails;W
Change email;Изменить email;Змінити e-mail;personal_changeEmail;W
Account status;Статус счёта;Статус звіту;accountStatus;W
Invalid_email;не правильный email;Невірний e-mail;common_Invalid_email;W
Payer's bank;Банк плательщика;Банк Платника;payersBank;W
Onset of action;Начало действия;Початок дії;exchangeRates_start;W
This is mandatory field !;Обязательное поле!;Обов'язкове поле!;common_mandatory_field;W
Clean;Очистить;Очистити;common_clean;W
Block requisites: Recipient;Блок реквизитов: Получатель;Блок реквізитів: Отримувач;recipientDetailsBlock;W
Document Number;Номер документа;Номер документу;common_documentNumber;W
This field should not exceed 64 characters!;Это поле не должно превышать 64 символа!;Це поле не може перевищувати 64 символи!;noMore64Symbols;W
Clear;Очистить;Очистити;common_clear;W
Transaction type;Тип транзакции;Тип транзакції;transactionType;W
Valid from;Действует с;Діє з;companyperson_certificate_from;W
Viewing/Editing the Document status;Просмотр и редактирование Статуса документа;Перегляд і редагування Статусу документу;viewingEditingDocStatus;W
Create new payroll;Создание Зарплатного отчисления;Створення Зарплатного відрахування;paymentOrder_addNewPayroll;W
ИИН/БИН получателя;ИИН/БИН получателя;ІПН/БІН отримувача;invoice.receiver.bin;W
Croup Job List;Список Групп задач;Список груп задач;jobs.CroupList;W
Wrong file type. Available:;Неверный тип файла. Допустимы:;Невірний тип файлу. Припустимі:;common_WrongFileType;W
Managers;Менеджеры;Менеджери;navigation_managers;W
Branch;Филиал;Відділення;common_branch;W
Local banks;Локальные банки;Локальні банки;navigation_localBanks;W
Warning;Предупреждение;Попередження;warning;W
Residency code;КБЕ Получателя;КБЕ Отримувача;transferRequisites_recipientResidencyCode;W
Country code;Код страны;Код країни;intTransfer_recipientBankCountryCode;W
Add;Добавить;Додати ;paymentOrder_add;W
Id;ИД;ID;common_id;W
User action;Действие пользователя;Дія користувача;events_useraction;W
Account type;Вид счёта;Вид рахунку;accountType;W
Job Type;Название типа задачи;Назва типу задачі;jobs.jobType;W
Change password;Смена пароля;Зміна паролю;changepassword__title;W
Country;Страна;Країна;intTransfer_recipientBankCountry;W
Change password;Смена пароля;Зміна паролю;customeruser_changepassword;W
Exchange rates;Курсы валют;Курси валют;exchangeRates_exchangeRates;W
Request URL;Request URL;Request URL;requests_url;W
Allowed roles;Разрешенные роли;Дозволені ролі;authfactor_rolesAllowed;W
Agent bank requisites;Реквизиты Банка посредника;Реквізити Банку посередника;counterparty_agentRequisites;W
Signature rules;Правила подписи документов;Правила підпису документів;signingrules_title;W
Add a new calendar;Добавить новый календарь;Додати новий календар;addNewCalendar;W
Результат импорта документа №;Результат импорта документа №;Результат імпорту документа №;payment.import.result.document;W
User roles;Роли пользователей;Ролі користувачів;roles_title;W
View/edit constant;Просмотр/редактирование константы;Перегляд / Редагування константи;global_settings.constants.screen.view_edit;W
Client;Клиент;Клієнт;client;W
Invoice;Выставленный мне счет;Виставлений мені рахунок;intTransfer_invoice;W
Release date;Дата выпуска;Дата випуску;releaseDate;W
Search;Поиск;Пошук;grid_search;W
Email;Email;Email;customeruser_email;W
Amount in transaction currency;Сумма в валюте транзакции;Сума холда;amountInTransactionCurrency;W
field name;имя поля;Ім'я поля;field_name;W
Code;БИН/ИИН Получателя;БІН/ІПН Отримувача;transferRequisites_recipientCode;W
Limits;Лимиты;Ліміти;companyPersonEdit_limittabTitle;W
Description;Название;Назва;notification_description;W
Working with OTP tokens;Работа с ОТП токенами;Робота з OTP-токенами;workingWithOtpTokens;W
BIK;БИК;BIC;bik;W
Create a new Card product type;Создать новый Вид карточных продуктов;Створити новий Вид карточних продуктів;createNewCardProductType;W
Create new social contribution;Создание Социального отчисления;Створення Соціального відрахування;paymentOrder_addNewSocialContribution;W
Subdivision;Подразделение;Підрозділ;managerView_subdivision;W
All demand checked;Все заявления выбраны;Всі заяви обрані;demand_allDemandChecked;W
Amount to;Сумма до;Сума до;signingrules_amountTo;W
Sender;Наименование;Назва;senderName;W
Users roles;Роли пользователей;Ролі користувачів;navigation_usersroles;W
Status;Статус;Статус;events_status;W
Beneficiary bank details;Банк Получателя;Банк отримувача;intTransfer_beneficiaryBankDetails;W
OTP token;ОТП пароль;ОТП пароль;auth.opt.token;W
Signature Level;Тип подписи;Тип підпису;companyperson_signLevel;W
Create a new Document type;Создать новый Тип документа;Створити новий Тип документа;createDocType;W
International bank BIK;БИК банка интернациональный;BIC банку інтернаціональний;banks_bikBankIntNat;W
Action;Действие;Дія;events_action;W
unpublish;Отменить публикацию;Відмінити публікацію;createDemandType_unpublish;W
Bank code;БИК Банка Получателя;BIC банку Отримувача;transferRequisites_recipientBankCode;W
Related Button;Связанные кнопка;Повязана кнопка;CustomRequestType_relatedButton;W
Create;Создать;Створити;common_create;W
This field should not exceed 20 characters!;Это поле не должно превышать 20 символа!;Це поле не може перевищувати 20 символів!;noMore20Symbols;W
Required Field;Обязательность заполнения;Обов'язковість заповнення;requiredField;W
Deleted;Удален;Видалений;customeruser_deleted;W
Status published : true;Статус публикации: опубликовано;Статус публікації: опубліковано;createDemandType_statusPublishedTrue;W
Withdraw;Отозвать;Відкликати;common_withdraw;W
Bank name;Наименование;Назва;paymentOrder_recipientBankName;W
The Document type with the same code already exists;Тип документа с таким кодом уже существует;Тип документу з таким кодом уже існує;docTypeWithSameCodeAlreadyExists;W
type name;Название типа задачи;Назва типу задачі;jobs.type_name;W
Name;Название;Назва;currency_currencyname;W
Operations with bank;Действия;Дія;operationsWithBank;W
Interest rate;Процентная ставка;Відсоткова ставка;interestRate;W
KPP;КПП;КПП;counterparty_kpp;W
Active;Активный;Активний;sessions_active;W
Creating payment purpose;Создание назначения платежа;Створення призначення платежу;paymentOrder_createPaymentPurpose;W
Attach file;Прикрепить файл;Прикріпити файл;intTransfer_uploadFile;W
Date from;Дата с;Дата з;common_periodFrom;W
Sign;Подписать;Підписати;common.sign;W
Login;Логин;Логін;login_login;W
The organization is not defined;Организация не определена;Підприємство не визначене;common_orgIsNotDefined;W
Add role;Добавить роль;Додати роль;role_add;W
Pay;Оплатить;Сплатити;action_pay;W
Log in;Войти;Увійти;login_to_enter;W
Effective interest rate;Эффективная процентная ставка;Ефективна відсоткова ставка;effectiveInterestRate;W
Card block/unblock;Блокирование/Разблокирование карты;Блокування/Розблокування карти;cardBlockUnblock;W
Users list;Список пользователей;Список користувачів;customeruser_userslist;W
View/edit social contribution;Просмотр/редактирование Социального отчисления;Перегляд / Редагування Соціального відрахування;paymentOrder_viewEditSocialContribution;W
No exchange rate types;Типы курсов валют отсутствуют;Типи курсів валют відсутні;noExchangeRateTypes;W
Get;Получить;Отримати;common_get;W
Account managers;Менеджеры счёта;Менеджери рахунку;common_accountManagers;W
Card status;Статус карты;Статус карти;cardStatus;W
Country (Agent bank);Страна (Банка Посредника);Країна (Банка Посередника);intTransfer_agentBankCountry;W
A point type;Тип точки;Тип крапки;pointType;W
Details;Просмотр деталей;Перегляд  деталей;common_details;W
Authorized persons;Уполномоченные лица;Уповноважені особи;companyPersons_title;W
Response code;Код ответа;Код відповіді;requests_responseCode;W
Mail;Почта;Пошта;navigation_mail;W
Operations with cards;Действия;Дія;cardsOperations;W
Edit role;Редактирование роли;Редагування ролі;role_editTitle;W
Create role;Создание роли;Створення ролі;role_createTitle;W
Quick Links;Быстрые ссылки;Швидкі посилання;quick_links;W
Display keyboard;Показать клавиатуру;Відобразити клавіатуру;login_display_keyboard;W
Issuer DN;Издатель (DN);Видавник (DN);companyperson_certificate_issuerDN;W
Massage;Сообщение;Повідомлення;documentHistory_massage;W
Generator;Автономный генератор;Автономний генератор;authfactorcreate_generator;W
Save as template;Создать шаблон;Створити шаблон;paymentOrder_createTemplate;W
Change password;Изменить пароль;Змінити пароль;personal_changePassword;W
Manager role;Роль менеджера;Роль менеджера;managerView_role;W
Type already exist!;Тип с таким кодом уже существует;Тип з таким кодом вже існує;authfactoredit_alreadyexist;W
Locality;Населённый пункт;Населений пункт;common_locality;W
Group;Группа констант;Група констант;global_settings.constants.table.col.group;W
Short name;Краткое имя;Скорочене ім'я;customeruser_shortName;W
Clear quick links settings;Удалить настройки быстрых ссылок;Видалити налаштування швидких посилань;clear_links_settings;W
Completition date;Дата завершения;Дата завершення;completionDate;W
City;Город;Місто;common_city;W
Countries;Страны;Країни;navigation_countries;W
Closed;Закрытые;Закриті;common_closed;W
Operations with the City;Действия;Дія;operationsWithCity;W
Cards statuses;Статусы карт;Статуси карт;cardsStatuses;W
Print;Печать;Друк;paymentOrder_print;W
Requisites;Реквизиты;Реквізити;invoice_requisites;W
Bank code;БИК Банка Получателя;BIC банку Отримувача;paymentOrder_recipientBankCode;W
Expiration date;Срок действия;Строк дії;invoice_expire;W
BIN;БИН/ИИН;ЄДРПОУ/ІПН;common_bin;W
Accept;Принять;Прийняти;accept;W
Sale;Продажа;Продаж;exchangeRates_sale;W
Credit;Зачисление;Зарахування;accTransfer_credit;W
New Demand type;Создать новый тип заявлени;Створити новий тип заяви;demandType_newDemand;W
Purpose of payment;Назначение платежа;Призначення платежу;paymentOrder_paymentPurpose;W
Менеджер;Менеджер;Менеджер;refunds.manager;W
Are you sure you want to delete the Card product type №;Вы действительно хотите удалить Вид карточных продуктов №;Ви дійсно бажаєте видалити Вид карткових продуктів №;sureYouWantDeleteCardProductType;W
New credit;Новый кредит;Новий кредит;credit_addNewDemand;W
Currency;Валюта;Валюта;common_currency;W
State;Состояние;Стан;common_state;W
job group;Группа типа задачи;Група типу задачі;jobs.job_group;W
Choosen File:;Выбранный Файл;Вибраний файл;upload_choosenFile;W
Create a new ATM/Branch/Terminal;Создать новый Банкомат/отделение/терминал;Створити новий банкомат / відділення / термінал;createAtmBranchTerminal;W
User account;Учетная запись;Обліковий запис;companyPersons_useraccount;W
View/edit payment order;Просмотр/редактирование Платежного поручения;Перегляд / Редагування Платіжного доручення;paymentOrder_viewEditOrder;W
Statement;Выписка;Виписка;navigation_statement;W
Publication date;Дата публикации;Дата публікації;news_publDate;W
demand end point;Точка доставки заявления;Адреса доставки заяви;CustomRequestType_demandEndPoint;W
Signature;ЭЦП;ЕЦП;authfactorcreate_signature;W
Balance;Остаток;Залишок;common_plannedBalance;W
User management;Менеджмент;Менеджмент;navigation_management;W
Edit signature rule;Редактирование правила для подписи;Редагування правила для підпису;signingrules_edit_title;W
No currencies;Валюты отсутствуют;Валюти відсутні;noCurrencies;W
Viewing/Editing the Card unblocking reason;Просмотр и редактирование Причины разблокировки карты;Перегляд і редагування Причини розблокування карти;viewingEditingCardUnblockReason;W
Type;Тип;Тип;limit_type;W
Submit;Отправить на подпись;Відправити на підпис;common.submit;W
Transaction history filter settings;Настройки фильтра истории транзакций;Налаштування фільтру історії транзакцій;transactionsHistoryFilterSettings;W
size field;размерность поля;Розмірність поля;temp_sizeField;W
Debit currency;Валюта списания;Валюта списання;paymentOrder_debitCurrency;W
Currency;Валюта;Валюта;intTransfer_currency;W
Employees list;Список сотрудников;Список співробітників;paymentOrder_employeeList;W
Executor;Исполнитель;Виконавець;events_executor;W
Refunds;Возвраты;Повернення;navigation_returns;W
Previous state;Начальное состояние;Початковий стан;documentHistory_previousState;W
Sessions;Сессии пользователей;Сесії користувачів;sessions_title;W
Create a new Card status;Создать новый Статус карт;Створити новий Ствтус карт;createCardStatus;W
Event;Событие;Подія;eventview_title;W
Are you sure you want to delete the Document type;Вы действительно хотите удалить Тип документа;Ви дійсно бажаєте видалити Тип документу;sureYouWantDeleteDocType;W
Dictionary: Exchange rates;Справочник: Курс валют;Довідник: Курс валют;exchangeRates_handbook;W
Invalid characters;Недопустимые символы;Неприпустимі символи;paymentOrder_valid_invalidCharacters;W
Viewing and editing the budget classification code (CSC);Просмотр и редактирование Кода бюджетной классификации(КБК);Перегляд і редагування Кода бюджетної класифікації (КБК);viewingEditingKBK;W
Events from;События с;Події з;events_eventsfrom;W
field value;значение поля;значення поля;common_fieldValue;W
Transaction history;История транзакций;Історія транзакцій;common_transactionHistory;W
Document with this number already exist, we recommend use another number;Документ с таким номером уже существует, рекомендуем указать следующий номер;Документ з таким номером вже існує, рекомендуємо вказати наступний номер;paymentOrder_valid_documentExist;W
Please click "Continue" to keep working;Пожалуйста нажмите "Продлить" чтобы работать далее;Будь ласка, натисніть "Продовжити" для продовження роботи;mainbar_timeoutActions;W
System dictionaries;Системные справочники;Системні довідники;systemHandbooks;W
Creating Account Type;Создание типа счёта;Створення типу рахунку;creatingAccountType;W
Template Name;Имя шаблона;Ім'я шаблону;payment_templateName;W
Re-issuance;Перевыпуск;Перевипуск;reissuance;W
Do you confirm to remove this item?;Подтвердите действие: Вы действительно хотите удалить элемент ?;Підтвердіть дії: Ви дійсно бажаєте видалити елемент?;demandType_confirm;W
Dictionary: Districts;Справочник: Области;Доідник: Області;districts_handbook;W
Operations with KBK;Действия;Дія;operationsWithKBK;W
Active;Активный;Активний;customeruser_active;W
View/edit pension contribution;Просмотр/редактирование Пенсионноого отчисления;Перегляд / Редагування Пенсійного відрахування;paymentOrder_viewEditPensionContribution;W
History;История;Історія;common_history;W
Add New Demand;Добавить новое заявление;Додати нову заяву;demandCreate_addNewDemand;W
Id;Идентификатор;Ідентифікатор;global_settings.constants.id;W
BIC/SWIFT;БИК/SWIFT;BIC/SWIFT;intTransfer_bankSwift;W
Exchange rates;Курс валют;Курс валют;navigation_exchangeRates;W
Create Document;Создать платеж;Зберегти;common_createNewDocument;W
Currency transfer;Международный перевод валюты;Міжнародний перевод валюти;navigation_currencyTransfer;W
Clear column settings;Удалить настройки колонок;Видалити налаштування колонок;clear_column_settings;W
Create new job;Создать новую задачу;Створити нову задачу;jobs.new_job.title;W
Bank branches;Филиалы банка;Філії банку;bankBranches;W
User;Пользователь;Користувач;documentHistory_user;W
Residency code;КБЕ;КБЕ;common_kbe;W
Наименование Банка;Наименование Банка;Назва Банку;refunds.sender.bank.name;W
year;год;рік;yearLowerCase;W
Rejected;Отклонён;Віхилений;common_rejected;W
Value from dictionary;Значение из справочника;Значення із довідника;global_settings.constants.handbook_value;W
Blocked transactions;Заблокированные транзакции;Заблоковані транзакції;blockedTransactions;W
Balance;Остаток;Залишок;paymentOrder_balance;W
Certificate type;Тип сертификата;Тип сертифікату;certTypes;W
Code VO description;Описание VO;Опис VO;intTransfer_codeVoDescription;W
Loan products types;Виды кредитных продуктов;Види карткових продуктів;creditProductTypes;W
Max length;Поле должно быть не больше;Значення повинно бути не більше;common_maxLength;W
Debit account;Счет списания;Рахунок списання;accTransfer_debitAccount;W
Amount from;Сумма от;Сума від;signingrules_amountFrom;W
Channel;Канал;Канал;events_channel;W
Are you sure you want to delete the Card block reason;Вы действительно хотите удалить Причину блокировки карты;Ви дійсно бажаєте видалити Причину блокування карти;sureYouWantDeleteCardBlockReason;W
This field must contains only letters;Это поле должно содержать только буквенные символы!;Це поле має містити лише літерні символи!;common_field_onlyletters;W
Organization role;Роль в организации;Роль в підприємстві / організації;companyperson_organizationRole;W
PDF;PDF;PDF;common_exporttopdf;W
Payments;Платежи;Платежі;navigation_payments;W
Contract audit number;Учетный номер контракта;Обліковий номер контракту;common_contractAuditNumber;W
Purchase;Покупка;Купівля;exchangeRates_purchase;W
Your text;Ваш текст;Ваш текст;yourText;W
This field should not exceed 512 characters!;Это поле не должно превышать 512 символа!;Це поле не може перевищувати 512 символів!;noMore512Symbols;W
Are you sure you want to delete the code of budget classification number;Вы действительно хотите удалить Код бюджетной классификации №;Ви дійсно бажаєте видалити Код бюджетної класифікації №;sureYouWantDeleteKBK;W
Copy a calendar;Скопировать календарь;Скопіювати календар;copyCalendar;W
Phone;Телефон;Телефон;customeruser_phone;W
Refunds;Возвраты;Повернення;refunds.title;W
National bank of Kazakhstan;Национальный банк Республики Казахстан;Національний банк України;exchangeRates_nbrk;W
Amount;Сумма;Сума;domTransfer_amount;W
Period;Периодичность;Періодичність;standing.order.periodicity;W
Transliterate;Транслитерация;Транслітерація;intTransfer_transliterate;W
Person type;Юридический статус;Юридичний статус;organizationsCreate_persontype;W
Ordering customer name;Имя плательщика;Ім'я платника;common_fullName;W
Creating a Card product type;Создание Вида карточных продуктов;Створенн виду карткових продуктів;creatingCardProductType;W
Set as default;Установить по умолчанию;Встановити за умовчуванням;common_setDefault;W
Additionaly;Дополнительно;Додатково;additionally;W
IIN/BIN;БИН/ИИН;БІН/ІПН;senderBIN;W
Operations with the Cards status;Действия;Дія;operationsWithCardsStatus;W
Date;Дата;Дата;events_eventdate;W
Carried forward balance;Исходящий остаток;Вихідний залишок;carriedForwardBalance;W
add demand type field;добавить поле типа заявления;Додати поле типу заяви;add_custom_field;W
Create new type;Создать новый тип;Створити новий тип;common_createNewType;W
User name;ФИО;ПІБ;sessions_username;W
3 letters;3 буквенных символа;3-літерних символа;common_field_3letters;W
Calendars list error loading. Please reload the page or try again later;Ошибка загрузки списка календарей. Перезагрузите страницу или попробуйте позже;Помилка завантаження календарів. Перезавантажте сторінку або спробуйте пізніше ;calendarsLoadingErrorReload;W
VC Tariffs;Тарифы УЦ;Тарифи УЦ;tariffs;W
Block requisites: Info from bank;Блок реквизитов: Информациия от банка;Блок реквізитів: Інформація від Банку;refunds.infoFromBank;W
Sent;Отправлено;Відправлено;sent;W
Document types;Типы документов;Типи документів;signingrules_doctypes;W
Your online session will expire in;Сессия завершится через;Сесія завершиться через;mainbar_timeoutWarning;W
characters maximum length;символов максимальная длина;символів максимальна довжина;paymentOrder_valid_lengthLimit;W
iban has wrong format;iban имеет не правильный формат; iban має невірний формат;common.iban.wrongCode;W
Temporary certificate;Технологический сертификат;Технологічний сертифікат;companyperson_certificate_temp;W
Send;Отправить;Відправити;send;W
Employees;Сотрудники;Співробітники;navigation_employees;W
Terminal IP;IP терминала;IP терміналу;events_terminal2;W
Link;Ссылка;Посилання;link;W
Change;Изменить;Змінити пароль;Common_change;W
Pension contribution refund;Возврат по пенсионному отчислению;Повернення по пенсійному відрахуванню;refunds.pensioncontribution;W
The total blocked amount;Общая заблокированная сумма;Загальна заблокована сума;totalBlockedAmount;W
Cod;Код;Код;paymentOrder_payerResidencyCode;W
Additional information;Дополнительная информация;Додаткова інформація;paymentOrder_info;W
Manager menu;Меню менеджера;Меню менеджера;page_managermenutitle;W
Correspondent account;Кор. счет;Кор.рахунок;intTransfer_correspondentAccount;W
Cost;Стоимость;Вартість;cost;W
template notification;Шаблон уведомления;Шаблон повідомлення;template_notification;W
Roles;Роли;Ролі;companyPersonEdit_roletabTitle;W
Counterparty;Контрагент;Контрагент;counterparty;W
Continue;Продлить;Продовжити;mainbar_continue;W
Operations with the Deposit product type;Действия;Дія;operationsWithDepositProductType;W
Files;Файлы;Файли;intTransfer_files;W
Block/Unblock card;Блокировка/Разблокировка карты;Блокування/Розблокування карти;title_block_unblock;W
Card number;Номер карты;Номер карти;card_number;W
Is blocked;Блокирован;Заблокований;card_number_is_blocked;W
No data in the table;Данные в таблице отсутствуют;Дані в таблиці відсутні;grid_emptyRowLabel;W
hour;Часы;Години;hour;W
minute;Минуты;Хвилини;minute;W
Demand;Заявление;Заява;demand_tab;W
for document;По документу;По документу;for_document;W
job Group;Группа задач;Група задач;jobsGroup.edit_jobGroup.title;W
Draft number;Номер черновика;Номер чернетки;draft_number;W
Draft type;Тип черновика;Тип чернетки;draft_type;W
Intermediary bank;Банк посредник;Банк Посередник;bank_correspondent;W
Document;Документ;Документ;document;W
Login properties;Настройки входа;Налаштування входу;personal_login;W
document;документом;документом;document1;W
Click to hide this message;кликните чтобы скрыть это сообщение;Клікніть, щоб приховати повідомлення;Click_hide_this_message;W
every Second;Каждую секунду;Кожну секунду;jobs.schedule.everySecond;W
start From Second / Increment;Начиная с секунды / интервал;Починаючи з секунди / інтервал;jobs.schedule.startFromSecond;W
specific Seconds;Указаны секунды;Вказані секунди;jobs.schedule.specificSecond;W
beetween Second;Между секундами;Між секундами;jobs.schedule.beetweenSecond;W
every Minute;Каждую минуту;Кожну хвилинк;jobs.schedule.everyMinute;W
Start from minute / Increment;Начиная с минуты / интервал;Починаючи з хвилини / інтервал;jobs.schedule.startFromMinute;W
specific Minutes;Указаны минуты;Вказані хвилини;jobs.schedule.specificMinute;W
beetween Minute;Между минутами;Між хвилинами;jobs.schedule.beetweenMinute;W
every Hour;Каждый час;Кожну годину;jobs.schedule.everyHour;W
Start from hour / Increment;Начиная с часа / интервал;Починаючи з години / інтервал;jobs.schedule.startFromHour;W
Specific hours;Указаны часы;Вказані години;jobs.schedule.specificHour;W
beetween Hour;Между часами;Між годинами;jobs.schedule.beetweenHour;W
Every day;Каждый день;Кожен день;jobs.schedule.everyDay;W
Start from day of week;Начиная с дня недели;Починаючи з дня тижня;jobs.schedule.startFromDayOfWeek;W
Start from day of month;Начиная с дня месяца;Починаючи з дня місяця;jobs.schedule.startFromDayOfMonth;W
Specific day of week;Определенный день недели;Визначений день тижня;jobs.schedule.specificDayOfWeek;W
Specific day of month;Определенный день месяца;Визначений день місяця;jobs.schedule.specificDayOfMonth;W
every Month;Каждый месяц;Кожен місяць;jobs.schedule.everyMonth;W
Start from month / Increment;Начиная с месяца / интервал;Починаючи з місяця / інтервал;jobs.schedule.ststartFromMonth;W
specific Month;Определенные месяца;Визначені місяці;jobs.schedule.specificMonth;W
beetween Month;Между месяцами;Між місяцями;jobs.schedule.beetweenMonth;W
Second;Секунды ;Секунди;jobs.schedule.second;W
Minute;Минуты ;Хвилини;jobs.schedule.minute;W
Hour;Часы ;Години;jobs.schedule.hour;W
Day;Дни ;Дні;jobs.schedule.day;W
Month;Месяцы ;Місяці;jobs.schedule.Month;W
every ;через каждый ;через кожний;jobs.Every;W
Starting at second;Начиная с секунды;Починаючи з секунди;jobs.second_starting_at_second;W
increment;через каждую;через кожну;jobs.Every_second;W
Specific second (choose one or many);Определенная секунда (выберите одну или несколько);Визначена секунда (оберіть одну або декілька);jobs.Specific_second;W
Every second between second;Каждую секунду между секундой ;Кожну секунду між секундою;jobs.every_second_between_second;W
and second;и секундой;і секундою;jobs.and_second;W
Starting at minute;Начиная с минуты;Починаючи з хвилини;jobs.minute_starting_at_minute;W
Specific minute (choose one or many);Определенная минута (выберите одну или несколько);Визначена хвилина(оберіть одну або декілька);jobs.specific_minute;W
Every minute between minute;Каждую минуту между минутой;Кожну хвилину між хвилиною;jobs.Every_minute_between;W
and minute;и минутой;і хвилиною;jobs.and_minute;W
Specific day of week (choose one or many);Определенный день недели (выберите один или несколько);Визначендень тижня (оберіть одну або декілька);jobs.Specific_day_of_week;W
Specific month (choose one or many);Определенный месяц (выберите один или несколько);Визначений місяць (оберіть одну або декілька);jobs.Specific_month;W
Starting in;Начиная с ;Починаючи з;jobs.month_starting_in;W
Every Month between month;Каждый месяц между месяцем;Кожен місяць між місяцем;jobs.Every_Month_between;W
and month;и месяцем;і місяцем;jobs.and_month;W
Starting at day;Начиная с дня;Починаючи з дня;jobs.day_starting_at_day;W
month starting on the;месяц начиная с;Місяць починаючи з;jobs.month_starting_on;W
