en;ru;uk;translation_key;output_channel
Cannot make certificate request to the VC;Ошибка при запросе на Удостоверяющий Центр;Ошибка при запросе на Удостоверяющий Центр;vcReqError;W
Counterparty bank requisites;Реквизиты Банка контрагента;Реквизиты Банка контрагента;counterparty_bankRequisites;W
Events to;События до;События до;events_eventsto;W
Viewing and editing the Notification type;Просмотр и редактирование типа уведомления;Просмотр и редактирование типа уведомления;viewingEditingNotificationType;W
Payroll refund;Возврат по зарплатному отчислению;Возврат по зарплатному отчислению;refunds.payroll;W
Версия броузера;Версия броузера;Версия броузера;events_browser;W
Details / Edit;Просмотр деталей / редактировать;Просмотр деталей / редактировать;common_detailsEdit;W
Delivery Point;Точка доставки;Точка доставки;demandType_delivery;W
Sender's name or tax code;Наименование или ИИН/БИН организации отправителя;Наименование или ИИН/БИН организации отправителя;refunds.filter.sender;W
Permissions;Настройка доступа;Настройка доступа;navigation_permissions;W
Create new category;Создать новую категорию;Создать новую категорию;CodeCategory_createNewCategory;W
User type;Тип пользователя;Тип пользователя;events_usertype;W
Include VAT (12%);C НДС (12%);C НДС (12%);paymentOrder_vat12;W
The card blocking history;История блокировок карты;История блокировок карты;cardBlockingHistory;W
View/Edit Social Template;Просмотр/Редактирование Шаблона  Социального отчисления;Просмотр/Редактирование Шаблона  Социального отчисления;paymentOrder_viewEditSocialTemplate;W
Bank account;Кор. счет Банка;Кор. счет Банка;counterparty_bankAccount;W
Code VO;Код VO;Код VO;intTransfer_codeVo;W
Viewwing and editing Card Type;Просмотр и редактирование Вида карт;Просмотр и редактирование Вида карт;viewingAndEditingCardType;W
Synchronized successful!;Синхронизировано успешно!;Синхронизировано успешно!;syncSuccessful;W
Exit;Выход;Выход;login_exit;W
View International transfer;Просмотр международного перевода валюты;Просмотр международного перевода валюты;intTransfer_view;W
Operations;Действия;Действия;common_depositOperations;W
System Job;Задачи;Задачи;system_job;W
Start date;Начиная с даты;Начиная с даты;standing.order.from.date;W
Filter settings;Настройки фильтра пользователей;Настройки фильтра пользователей;customerUser_filtertitle;W
Jobs history;История по задачам;История по задачам;navigation_jobs_history;W
Filter settings;Настройки фильтра;Настройки фильтра;common.filter.settings;W
Wrong code;Неправильный код;Неправильный код;paymentOrder_valid_wrongCode;W
Receiver's name or tax code;Наименование или ИИН/БИН организации получателя;Наименование или ИИН/БИН организации получателя;refunds.filter.receiver;W
Receivers account;Счет получателя;Счет получателя;domTransfer_receiverAccount;W
invoice date;Дата инвойса;Дата инвойса;intTransfer_invoiceDate;W
Edit authorized preson:;Редактирование параметров уполномоченного лица:;Редактирование параметров уполномоченного лица:;companyPersonEdit_title;W
Create International transfer;Создать международный перевод валюты;Создать международный перевод валюты;intTransfer_create;W
в строке;в строке;в строке;payment.import.result.document.line.number;W
Base document number;№ основного документа;№ основного документа;withdraw_doc_num;W
Managers;Менеджеры;Менеджеры;organizations_managers;W
In processing;В процессе обработки;В процессе обработки;common_inProcessing;W
Sign right;Признак права подписи от имени банка;Признак права подписи от имени банка;manager_isBankSign;W
KPP;КПП;КПП;intTransfer_recipientKpp;W
Import messages;Сообщения импорта;Сообщения импорта;upload_documentForUpload;W
from;От;От;common_from;W
Managers list;Список менеджеров;Список менеджеров;managers_title;W
Follow;Важен;Важен;signingrules_inorder;W
Comment;Комментарий;Комментарий;events_comment;W
Creating a Card Type;Создание Вида карт;Создание Вида карт;creatingCardType;W
Are you sure you want to delete the Document status;Вы действительно хотите удалить Статус документа;Вы действительно хотите удалить Статус документа;sureYouWantDeleteDocStatus;W
Post address;Почтовый адрес;Почтовый адрес;postAddress;W
Account Details;Детали счёта;Детали счёта;common_accountDetails;W
Change email;Изменить email;Изменить email;personal_changeEmail;W
Account status;Статус счёта;Статус счёта;accountStatus;W
Invalid_email;не правильный email;не правильный email;common_Invalid_email;W
Payer's bank;Банк плательщика;Банк плательщика;payersBank;W
Onset of action;Начало действия;Начало действия;exchangeRates_start;W
This is mandatory field !;Обязательное поле!;Міндетті өріс!;common_mandatory_field;W
Clean;Очистить;Очистить;common_clean;W
Block requisites: Recipient;Блок реквизитов: Получатель;Блок реквизитов: Получатель;recipientDetailsBlock;W
Document Number;Номер документа;Номер документа;common_documentNumber;W
This field should not exceed 64 characters!;Это поле не должно превышать 64 символа!;Это поле не должно превышать 64 символа!;noMore64Symbols;W
Clear;Очистить;Очистить;common_clear;W
Transaction type;Тип транзакции;Тип транзакции;transactionType;W
Valid from;Действует с;Действует с;companyperson_certificate_from;W
Viewing/Editing the Document status;Просмотр и редактирование Статуса документа;Просмотр и редактирование Статуса документа;viewingEditingDocStatus;W
Create new payroll;Создание Зарплатного отчисления;Создание Зарплатного отчисления;paymentOrder_addNewPayroll;W
ИИН/БИН получателя;ИИН/БИН получателя;ИИН/БИН получателя;invoice.receiver.bin;W
Croup Job List;Список Групп задач;Список Групп Задач;jobs.CroupList;W
Wrong file type. Available:;Неверный тип файла. Допустимы:;Неверный тип файла. Допустимы:;common_WrongFileType;W
Managers;Менеджеры;Менеджеры;navigation_managers;W
Branch;Филиал;Филиал;common_branch;W
Local banks;Локальные банки;Локальные банки;navigation_localBanks;W
Warning;Предупреждение;Предупреждение;warning;W
Residency code;КБЕ Получателя;КБЕ Получателя;transferRequisites_recipientResidencyCode;W
Country code;Код страны;Код страны;intTransfer_recipientBankCountryCode;W
Add;Добавить;Добавить;paymentOrder_add;W
Id;ИД;ИД;common_id;W
User action;Действие пользователя;Действие пользователя;events_useraction;W
Account type;Вид счёта;Вид счёта;accountType;W
Job Type;Название типа задачи;Название типа задачи;jobs.jobType;W
Change password;Смена пароля;Смена пароля;changepassword__title;W
Country;Страна;Страна;intTransfer_recipientBankCountry;W
Change password;Смена пароля;Смена пароля;customeruser_changepassword;W
Exchange rates;Курсы валют;Курсы валют;exchangeRates_exchangeRates;W
Request URL;Request URL;Request URL;requests_url;W
Allowed roles;Разрешенные роли;Разрешенные роли;authfactor_rolesAllowed;W
Agent bank requisites;Реквизиты Банка посредника;Реквизиты Банка посредника;counterparty_agentRequisites;W
Signature rules;Правила подписи документов;Правила подписи документов;signingrules_title;W
Add a new calendar;Добавить новый календарь;Добавить новый календарь;addNewCalendar;W
Результат импорта документа №;Результат импорта документа №;Результат импорта документа №;payment.import.result.document;W
User roles;Роли пользователей;Роли пользователей;roles_title;W
View/edit constant;Просмотр/редактирование константы;Просмотр/редактирование константы;global_settings.constants.screen.view_edit;W
Client;Клиент;Клиент;client;W
Invoice;Выставленный мне счет;Выставленный мне счет;intTransfer_invoice;W
Release date;Дата выпуска;Дата выпуска;releaseDate;W
Search;Поиск;Поиск;grid_search;W
Email;Email;Email;customeruser_email;W
Amount in transaction currency;Сумма в валюте транзакции;Сумма в валюте транзакции;amountInTransactionCurrency;W
field name;имя поля;имя поля;field_name;W
Code;БИН/ИИН Получателя;БИН/ИИН Получателя;transferRequisites_recipientCode;W
Limits;Лимиты;Лимиты;companyPersonEdit_limittabTitle;W
Description;Название;Название;notification_description;W
Working with OTP tokens;Работа с ОТП токенами;Работа с ОТП токенами;workingWithOtpTokens;W
BIK;БИК;БИК;bik;W
Create a new Card product type;Создать новый Вид карточных продуктов;Создать новый Вид карточных продуктов;createNewCardProductType;W
Create new social contribution;Создание Социального отчисления;Создание Социального отчисления;paymentOrder_addNewSocialContribution;W
Subdivision;Подразделение;Подразделение;managerView_subdivision;W
All demand checked;Все заявления выбраны;Все заявления выбраны;demand_allDemandChecked;W
Amount to;Сумма до;Сумма до;signingrules_amountTo;W
Sender;Наименование;Наименование;senderName;W
Users roles;Роли пользователей;Роли пользователей;navigation_usersroles;W
Status;Статус;Статус;events_status;W
Beneficiary bank details;Банк Получателя;Банк Получателя;intTransfer_beneficiaryBankDetails;W
OTP token;ОТП пароль;ОТП пароль;auth.opt.token;W
Signature Level;Тип подписи;Тип подписи;companyperson_signLevel;W
Create a new Document type;Создать новый Тип документа;Создать новый Тип документа;createDocType;W
International bank BIK;БИК банка интернациональный;БИК банка интернациональный;banks_bikBankIntNat;W
Action;Действие;Действие;events_action;W
unpublish;Отменить публикацию;Отменить публикацию;createDemandType_unpublish;W
Bank code;БИК Банка Получателя;БИК Банка Получателя;transferRequisites_recipientBankCode;W
Related Button;Связанные кнопка;Связанные кнопка;CustomRequestType_relatedButton;W
Create;Создать;Создать;common_create;W
This field should not exceed 20 characters!;Это поле не должно превышать 20 символа!;Это поле не должно превышать 20 символа!;noMore20Symbols;W
Required Field;Обязательность заполнения;Обязательность заполнения;requiredField;W
Deleted;Удален;Удален;customeruser_deleted;W
Status published : true;Статус публикации: опубликовано;Статус публикации: опубликовано;createDemandType_statusPublishedTrue;W
Withdraw;Отозвать;Отозвать;common_withdraw;W
Bank name;Наименование;Наименование;paymentOrder_recipientBankName;W
The Document type with the same code already exists;Тип документа с таким кодом уже существует;Тип документа с таким кодом уже существует;docTypeWithSameCodeAlreadyExists;W
type name;Название типа задачи;Название типа задачи;jobs.type_name;W
Name;Название;Название;currency_currencyname;W
Operations with bank;Действия;Действия;operationsWithBank;W
Interest rate;Процентная ставка;Процентная ставка;interestRate;W
KPP;КПП;КПП;counterparty_kpp;W
Active;Активный;Активный;sessions_active;W
Creating payment purpose;Создание назначения платежа;Создание назначения платежа;paymentOrder_createPaymentPurpose;W
Attach file;Прикрепить файл;Прикрепить файл;intTransfer_uploadFile;W
Date from;Дата с;Дата с;common_periodFrom;W
Sign;Подписать;Подписать;common.sign;W
Login;Логин;Логин;login_login;W
The organization is not defined;Организация не определена;Организация не определена;common_orgIsNotDefined;W
Add role;Добавить роль;Добавить роль;role_add;W
Pay;Оплатить;Оплатить;action_pay;W
Log in;Войти;Кіру;login_to_enter;W
Effective interest rate;Эффективная процентная ставка;Эффективная процентная ставка;effectiveInterestRate;W
Card block/unblock;Блокирование/Разблокирование карты;Блокирование/Разблокирование карты;cardBlockUnblock;W
Users list;Список пользователей;Список пользователей;customeruser_userslist;W
View/edit social contribution;Просмотр/редактирование Социального отчисления;Просмотр/редактирование Социального отчисления;paymentOrder_viewEditSocialContribution;W
No exchange rate types;Типы курсов валют отсутствуют;Типы курсов валют отсутствуют;noExchangeRateTypes;W
Get;Получить;Получить;common_get;W
Account managers;Менеджеры счёта;Менеджеры счёта;common_accountManagers;W
Card status;Статус карты;Статус карты;cardStatus;W
Country (Agent bank);Страна (Банка Посредника);Страна (Банка Посредника);intTransfer_agentBankCountry;W
A point type;Тип точки;Тип точки;pointType;W
Details;Просмотр деталей;Просмотр деталей;common_details;W
Authorized persons;Уполномоченные лица;Уполномоченные лица;companyPersons_title;W
Response code;Код ответа;Код ответа;requests_responseCode;W
Mail;Почта;Почта;navigation_mail;W
Operations with cards;Действия;Действия;cardsOperations;W
Edit role;Редактирование роли;Редактирование роли;role_editTitle;W
Create role;Создание роли;Создание роли;role_createTitle;W
Quick Links;Быстрые ссылки;Быстрые ссылки;quick_links;W
Display keyboard;Показать клавиатуру;Показать клавиатуру;login_display_keyboard;W
Issuer DN;Издатель (DN);Издатель (DN);companyperson_certificate_issuerDN;W
Massage;Сообщение;Сообщение;documentHistory_massage;W
Generator;Автономный генератор;Автономный генератор;authfactorcreate_generator;W
Save as template;Создать шаблон;Создать шаблон;paymentOrder_createTemplate;W
Change password;Изменить пароль;Изменить пароль;personal_changePassword;W
Manager role;Роль менеджера;Роль менеджера;managerView_role;W
Type already exist!;Тип с таким кодом уже существует;Тип с таким кодом уже существует;authfactoredit_alreadyexist;W
Locality;Населённый пункт;Населeнный пункт;common_locality;W
Group;Группа констант;Группа констант;global_settings.constants.table.col.group;W
Short name;Краткое имя;Краткое имя;customeruser_shortName;W
Clear quick links settings;Удалить настройки быстрых ссылок;Удалить настройки быстрых ссылок;clear_links_settings;W
Completition date;Дата завершения;Дата завершения;completionDate;W
City;Город;Город;common_city;W
Countries;Страны;Страны;navigation_countries;W
Closed;Закрытые;Закрытые;common_closed;W
Operations with the City;Действия;Действия;operationsWithCity;W
Cards statuses;Статусы карт;Статусы карт;cardsStatuses;W
Print;Печать;Печать;paymentOrder_print;W
Requisites;Реквизиты;Реквизиты;invoice_requisites;W
Bank code;БИК Банка Получателя;БИК Банка Получателя;paymentOrder_recipientBankCode;W
Expiration date;Срок действия;Срок действия;invoice_expire;W
BIN;БИН/ИИН;БИН/ИИН;common_bin;W
Accept;Принять;Принять;accept;W
Sale;Продажа;Продажа;exchangeRates_sale;W
Credit;Зачисление;Зачисление;accTransfer_credit;W
New Demand type;Создать новый тип заявлени;Создать новый тип заявлени;demandType_newDemand;W
Purpose of payment;Назначение платежа;Назначение платежа;paymentOrder_paymentPurpose;W
Менеджер;Менеджер;Менеджер;refunds.manager;W
Are you sure you want to delete the Card product type №;Вы действительно хотите удалить Вид карточных продуктов №;Вы действительно хотите удалить Вид карточных продуктов №;sureYouWantDeleteCardProductType;W
New credit;Новый кредит;Новый кредит;credit_addNewDemand;W
Currency;Валюта;Валюта;common_currency;W
State;Состояние;Состояние;common_state;W
job group;Группа типа задачи;Группа типа задачи;jobs.job_group;W
Choosen File:;Выбранный Файл;Выбранный Файл;upload_choosenFile;W
Create a new ATM/Branch/Terminal;Создать новый Банкомат/отделение/терминал;Создать новый Банкомат/отделение/терминал;createAtmBranchTerminal;W
User account;Учетная запись;Учетная запись;companyPersons_useraccount;W
View/edit payment order;Просмотр/редактирование Платежного поручения;Просмотр/редактирование Платежного поручения;paymentOrder_viewEditOrder;W
Statement;Выписка;Выписка;navigation_statement;W
Publication date;Дата публикации;Дата публикации;news_publDate;W
demand end point;Точка доставки заявления;Точка доставки заявления;CustomRequestType_demandEndPoint;W
Signature;ЭЦП;ЭЦП;authfactorcreate_signature;W
Balance;Остаток;Остаток;common_plannedBalance;W
User management;Менеджмент;Менеджмент;navigation_management;W
Edit signature rule;Редактирование правила для подписи;Редактирование правила для подписи;signingrules_edit_title;W
No currencies;Валюты отсутствуют;Валюты отсутствуют;noCurrencies;W
Viewing/Editing the Card unblocking reason;Просмотр и редактирование Причины разблокировки карты;Просмотр и редактирование Причины разблокировки карты;viewingEditingCardUnblockReason;W
Type;Тип;Тип;limit_type;W
Submit;Отправить на подпись;Отправить на подпись;common.submit;W
Transaction history filter settings;Настройки фильтра истории транзакций;Настройки фильтра истории транзакций;transactionsHistoryFilterSettings;W
size field;размерность поля;размерность поля;temp_sizeField;W
Debit currency;Валюта списания;Валюта списания;paymentOrder_debitCurrency;W
Currency;Валюта;Валюта;intTransfer_currency;W
Employees list;Список сотрудников;Список сотрудников;paymentOrder_employeeList;W
Executor;Исполнитель;Исполнитель;events_executor;W
Refunds;Возвраты;Возвраты;navigation_returns;W
Previous state;Начальное состояние;Начальное состояние;documentHistory_previousState;W
Sessions;Сессии пользователей;Сессии пользователей;sessions_title;W
Create a new Card status;Создать новый Статус карт;Создать новый Статус карт;createCardStatus;W
Event;Событие;Событие;eventview_title;W
Are you sure you want to delete the Document type;Вы действительно хотите удалить Тип документа;Вы действительно хотите удалить Тип документа;sureYouWantDeleteDocType;W
Dictionary: Exchange rates;Справочник: Курс валют;Справочник: Курс валют;exchangeRates_handbook;W
Invalid characters;Недопустимые символы;Недопустимые символы;paymentOrder_valid_invalidCharacters;W
Viewing and editing the budget classification code (CSC);Просмотр и редактирование Кода бюджетной классификации(КБК);Просмотр и редактирование Кода бюджетной классификации(КБК);viewingEditingKBK;W
Events from;События с;События с;events_eventsfrom;W
field value;значение поля;значение поля;common_fieldValue;W
Transaction history;История транзакций;История транзакций;common_transactionHistory;W
Document with this number already exist, we recommend use another number;Документ с таким номером уже существует, рекомендуем указать следующий номер;Документ с таким номером уже существует, рекомендуем указать следующий номер;paymentOrder_valid_documentExist;W
Please click "Continue" to keep working;Пожалуйста нажмите "Продлить" чтобы работать далее;Пожалуйста нажмите "Продлить" чтобы работать далее;mainbar_timeoutActions;W
System dictionaries;Системные справочники;Системные справочники;systemHandbooks;W
Creating Account Type;Создание типа счёта;Создание типа счёта;creatingAccountType;W
Template Name;Имя шаблона;Имя шаблона;payment_templateName;W
Re-issuance;Перевыпуск;Перевыпуск;reissuance;W
Do you confirm to remove this item?;Подтвердите действие: Вы действительно хотите удалить элемент ?;Подтвердите действие: Вы действительно хотите удалить элемент ?;demandType_confirm;W
Dictionary: Districts;Справочник: Области;Справочник: Области;districts_handbook;W
Operations with KBK;Действия;Действия;operationsWithKBK;W
Active;Активный;Активный;customeruser_active;W
View/edit pension contribution;Просмотр/редактирование Пенсионноого отчисления;Просмотр/редактирование Пенсионноого отчисления;paymentOrder_viewEditPensionContribution;W
History;История;История;common_history;W
Add New Demand;Добавить новое заявление;Добавить новое заявление;demandCreate_addNewDemand;W
Id;Идентификатор;Идентификатор;global_settings.constants.id;W
BIC/SWIFT;БИК/SWIFT;БИК/SWIFT;intTransfer_bankSwift;W
Exchange rates;Курс валют;Курс валют;navigation_exchangeRates;W
Create Document;Создать платеж;Создать платеж;common_createNewDocument;W
Currency transfer;Международный перевод валюты;Международный перевод валюты;navigation_currencyTransfer;W
Clear column settings;Удалить настройки колонок;Удалить настройки колонок;clear_column_settings;W
Create new job;Создать новую задачу;Создать новую задачу;jobs.new_job.title;W
Bank branches;Филиалы банка;Филиалы банка;bankBranches;W
User;Пользователь;Пользователь;documentHistory_user;W
Residency code;КБЕ;КБЕ;common_kbe;W
Наименование Банка;Наименование Банка;Наименование Банка;refunds.sender.bank.name;W
year;год;год;yearLowerCase;W
Rejected;Отклонён;Отклонён;common_rejected;W
Value from dictionary;Значение из справочника;Значение из справочника;global_settings.constants.handbook_value;W
Blocked transactions;Заблокированные транзакции;Заблокированные транзакции;blockedTransactions;W
Balance;Остаток;Остаток;paymentOrder_balance;W
Certificate type;Тип сертификата;Тип сертификата;certTypes;W
Code VO description;Описание VO;Описание VO;intTransfer_codeVoDescription;W
Loan products types;Виды кредитных продуктов;Виды кредитных продуктов;creditProductTypes;W
Max length;Поле должно быть не больше;Поле должно быть не больше;common_maxLength;W
Debit account;Счет списания;Счет списания;accTransfer_debitAccount;W
Amount from;Сумма от;Сумма от;signingrules_amountFrom;W
Channel;Канал;Канал;events_channel;W
Are you sure you want to delete the Card block reason;Вы действительно хотите удалить Причину блокировки карты;Вы действительно хотите удалить Причину блокировки карты;sureYouWantDeleteCardBlockReason;W
This field must contains only letters;Это поле должно содержать только буквенные символы!;Это поле должно содержать только буквенные символы!;common_field_onlyletters;W
Organization role;Роль в организации;Роль в организации;companyperson_organizationRole;W
PDF;PDF;PDF;common_exporttopdf;W
Payments;Платежи;Платежи;navigation_payments;W
Contract audit number;Учетный номер контракта;Учетный номер контракта;common_contractAuditNumber;W
Purchase;Покупка;Покупка;exchangeRates_purchase;W
Your text;Ваш текст;Ваш текст;yourText;W
This field should not exceed 512 characters!;Это поле не должно превышать 512 символа!;Это поле не должно превышать 512 символа!;noMore512Symbols;W
Are you sure you want to delete the code of budget classification number;Вы действительно хотите удалить Код бюджетной классификации №;Вы действительно хотите удалить Код бюджетной классификации №;sureYouWantDeleteKBK;W
Copy a calendar;Скопировать календарь;Скопировать календарь;copyCalendar;W
Phone;Телефон;Телефон;customeruser_phone;W
Refunds;Возвраты;Возвраты;refunds.title;W
National bank of Kazakhstan;Национальный банк Республики Казахстан;Национальный банк Республики Казахстан;exchangeRates_nbrk;W
Amount;Сумма;Сумма;domTransfer_amount;W
Period;Периодичность;Периодичность;standing.order.periodicity;W
Transliterate;Транслитерация;Транслитерация;intTransfer_transliterate;W
Person type;Юридический статус;Юридический статус;organizationsCreate_persontype;W
Ordering customer name;Имя плательщика;ФИО;common_fullName;W
Creating a Card product type;Создание Вида карточных продуктов;Создание Вида карточных продуктов;creatingCardProductType;W
Set as default;Установить по умолчанию;Установить по умолчанию;common_setDefault;W
Additionaly;Дополнительно;Дополнительно;additionally;W
IIN/BIN;БИН/ИИН;БИН/ИИН;senderBIN;W
Operations with the Cards status;Действия;Действия;operationsWithCardsStatus;W
Date;Дата;Дата;events_eventdate;W
Carried forward balance;Исходящий остаток;Исходящий остаток;carriedForwardBalance;W
add demand type field;добавить поле типа заявления;добавить поле типа заявления;add_custom_field;W
Create new type;Создать новый тип;Создать новый тип;common_createNewType;W
User name;ФИО;ФИО;sessions_username;W
3 letters;3 буквенных символа;3 буквенных символа;common_field_3letters;W
Calendars list error loading. Please reload the page or try again later;Ошибка загрузки списка календарей. Перезагрузите страницу или попробуйте позже;Ошибка загрузки списка календарей. Перезагрузите страницу или попробуйте позже;calendarsLoadingErrorReload;W
VC Tariffs;Тарифы УЦ;Тарифы УЦ;tariffs;W
Block requisites: Info from bank;Блок реквизитов: Информациия от банка;Блок реквизитов: Информациия от банка;refunds.infoFromBank;W
Sent;Отправлено;Отправлено;sent;W
Document types;Типы документов;Типы документов;signingrules_doctypes;W
Your online session will expire in;Сессия завершится через;Сессия завершится через;mainbar_timeoutWarning;W
characters maximum length;символов максимальная длина;символов максимальная длина;paymentOrder_valid_lengthLimit;W
iban has wrong format;iban имеет не правильный формат;iban имеет не правильный формат;common.iban.wrongCode;W
Temporary certificate;Технологический сертификат;Технологический сертификат;companyperson_certificate_temp;W
Send;Отправить;Відправити;send;W
Employees;Сотрудники;Сотрудники;navigation_employees;W
Terminal IP;IP терминала;IP терминала;events_terminal2;W
Link;Ссылка;Ссылка;link;W
Change;Изменить;Изменить;Common_change;W
Pension contribution refund;Возврат по пенсионному отчислению;Возврат по пенсионному отчислению;refunds.pensioncontribution;W
The total blocked amount;Общая заблокированная сумма;Общая заблокированная сумма;totalBlockedAmount;W
Cod;Код;Код;paymentOrder_payerResidencyCode;W
Additional information;Дополнительная информация;Дополнительная информация;paymentOrder_info;W
Manager menu;Меню менеджера;Меню менеджера;page_managermenutitle;W
Correspondent account;Кор. счет;Кор. счет;intTransfer_correspondentAccount;W
Cost;Стоимость;Стоимость;cost;W
template notification;Шаблон уведомления;Шаблон уведомления;template_notification;W
Roles;Роли;Роли;companyPersonEdit_roletabTitle;W
Counterparty;Контрагент;Контрагент;counterparty;W
Continue;Продлить;Продлить;mainbar_continue;W
Operations with the Deposit product type;Действия;Действия;operationsWithDepositProductType;W
Files;Файлы;Файлы;intTransfer_files;W
Block/Unblock card;Блокировка/Разблокировка карты;Блокировка/Разблокировка карты;title_block_unblock;W
Card number;Номер карты;Номер карты;card_number;W
Is blocked;Блокирован;Блокирован;card_number_is_blocked;W
No data in the table;Данные в таблице отсутствуют;Данные в таблице отсутствуют;grid_emptyRowLabel;W
hour;Часы;Часы;hour;W
minute;Минуты;Минуты;minute;W
Demand;Заявление;Заявление;demand_tab;W
for document;По документу;По документу;for_document;W
job Group;Группа задач;Группа задач;jobsGroup.edit_jobGroup.title;W
Draft number;Номер черновика;Номер черновика;draft_number;W
Draft type;Тип черновика;Тип черновика;draft_type;W
Intermediary bank;Банк посредник;Делдалдық банк;bank_correspondent;W
Document;Документ;Документ;document;W
Login properties;Настройки входа;Настройки входа;personal_login;W
document;документом;документом;document1;W
Click to hide this message;кликните чтобы скрыть это сообщение;кликните чтобы скрыть это сообщение;Click_hide_this_message;W
every Second;Каждую секунду;Каждую секунду;jobs.schedule.everySecond;W
start From Second / Increment;Начиная с секунды / интервал;Начиная с секунды / интервал;jobs.schedule.startFromSecond;W
specific Seconds;Указаны секунды;Указаны секунды;jobs.schedule.specificSecond;W
beetween Second;Между секундами;Между секундами;jobs.schedule.beetweenSecond;W
every Minute;Каждую минуту;Каждую минуту;jobs.schedule.everyMinute;W
Start from minute / Increment;Начиная с минуты / интервал;Начиная с минуты / интервал;jobs.schedule.startFromMinute;W
specific Minutes;Указаны минуты;Указаны минуты;jobs.schedule.specificMinute;W
beetween Minute;Между минутами;Между минутами;jobs.schedule.beetweenMinute;W
every Hour;Каждый час;Каждый час;jobs.schedule.everyHour;W
Start from hour / Increment;Начиная с часа / интервал;Начиная с часа / интервал;jobs.schedule.startFromHour;W
Specific hours;Указаны часы;Указаны часы;jobs.schedule.specificHour;W
beetween Hour;Между часами;Между часами;jobs.schedule.beetweenHour;W
Every day;Каждый день;Каждый день;jobs.schedule.everyDay;W
Start from day of week;Начиная с дня недели;Начиная с дня недели;jobs.schedule.startFromDayOfWeek;W
Start from day of month;Начиная с дня месяца;Начиная с дня месяца;jobs.schedule.startFromDayOfMonth;W
Specific day of week;Определенный день недели;Определенный день недели;jobs.schedule.specificDayOfWeek;W
Specific day of month;Определенный день месяца;Определенный день месяца;jobs.schedule.specificDayOfMonth;W
every Month;Каждый месяц;Каждый месяц;jobs.schedule.everyMonth;W
Start from month / Increment;Начиная с месяца / интервал;Начиная с месяца / интервал;jobs.schedule.ststartFromMonth;W
specific Month;Определенные месяца;Определенные месяца;jobs.schedule.specificMonth;W
beetween Month;Между месяцами;Между месяцами;jobs.schedule.beetweenMonth;W
Second;Секунды ;Секунды ;jobs.schedule.second;W
Minute;Минуты ;Минуты ;jobs.schedule.minute;W
Hour;Часы ;Часы ;jobs.schedule.hour;W
Day;Дни ;Дни ;jobs.schedule.day;W
Month;Месяцы ;Месяцы ;jobs.schedule.Month;W
every ;через каждый ;через каждый ;jobs.Every;W
Starting at second;Начиная с секунды;Начиная с секунды;jobs.second_starting_at_second;W
increment;через каждую;через каждую;jobs.Every_second;W
Specific second (choose one or many);Определенная секунда (выберите одну или несколько);Определенная секунда (выберите одну или несколько);jobs.Specific_second;W
Every second between second;Каждую секунду между секундой ;Каждую секунду между секундой;jobs.every_second_between_second;W
and second;и секундой;и секундой;jobs.and_second;W
Starting at minute;Начиная с минуты;Начиная с минуты;jobs.minute_starting_at_minute;W
Specific minute (choose one or many);Определенная минута (выберите одну или несколько);Определенная минута (выберите одну или несколько);jobs.specific_minute;W
Every minute between minute;Каждую минуту между минутой;Каждую минуту между минутой;jobs.Every_minute_between;W
and minute;и минутой;и минутой;jobs.and_minute;W
Specific day of week (choose one or many);Определенный день недели (выберите один или несколько);Определенный день недели (выберите один или несколько);jobs.Specific_day_of_week;W
Specific month (choose one or many);Определенный месяц (выберите один или несколько);Определенный месяц (выберите один или несколько);jobs.Specific_month;W
Starting in;Начиная с ;Начиная с ;jobs.month_starting_in;W
Every Month between month;Каждый месяц между месяцем;Каждый месяц между месяцем;jobs.Every_Month_between;W
and month;и месяцем;и месяцем;jobs.and_month;W
Starting at day;Начиная с дня;Начиная с дня;jobs.day_starting_at_day;W
month starting on the;месяц начиная с;месяц начиная с;jobs.month_starting_on;W
Specific day of month (choose one or many);Определенный день месяца (выберите один или несколько);Определенный день месяца (выберите один или несколько);jobs.Specific_day_of_month;W
Starting at hour;Начиная с часа;Начиная с часа;jobs.hour_starting_at_hour;W
Specific hour (choose one or many);Определенный час (выберите один или несколько);Определенный час (выберите один или несколько);jobs.Specific_hour;W
Every hour between hour;каждый час между часом;каждый час между часом;jobs.Every_hour_between;W
and hour;и часом;и часом;jobs.and_hour;W
By amount;По сумме;По сумме;by_amount;W
Expand filter;Раскрыть фильтр;Раскрыть фильтр;expand_filter;W
Close filter;Скрыть фильтр;Скрыть фильтр;close_filter;W
All receivers;Все получатели;Все получатели;all_receivers;W
New;Новых;Новых;notifications_new;W
No new notifications;Нет новых уведомлений;Нет новых уведомлений;notifications_nonew;W
All accounts;Счета;Счета;all_accounts;W
All states;Все статусы;Все статусы;all_states;W
All payers;Все плательщики;Все плательщики;all_payers;W
Quick links properties;Настройка быстрых ссылок;Настройка быстрых ссылок;quick_links_props;W
Exposed order;Мной счета;Мной счета;exposed_tab;W
Invoice;Мне счета;Мне счета;invoice_tab;W
Awaits Signature;Ожидающие подписи;Ожидающие подписи;task_awaits;W
Ready;Готовы к отправке;Готовы к отправке;task_ready;W
With error;С ошибкой;С ошибкой;task_with_error;W
Unpaid;Неоплаченые счета;Неоплаченые счета;task_unpaid;W
ALL;ВСЕ;ВСЕ;working_all;W
