en;ru;kk;translation_key
Reason for recall;Причина отзыва;Кері шақыртып алу себебі;withdraw_reason
Patronymic;Отчество;Әкесінің аты;paymentOrder_middleName
General;Общие;Жалпы;rolePermissions_common
User's full name;ФИО пользователя;Пайдаланушының аты-жөні;customerInitials
Filter settings;Настройки фильтра;Сүзгіні  баптаулар;filterSettings
Print of application;Печать заявления;Өтінішті басып шығару;demandCreate_print
Create a Document Status;Создание Статуса документа;Құжат мәртебесін жасау;creatingDocStatus
Transfer between own accounts / currency conversion;Перевод между своими счетами / Конвертация валюты;Өз шоттары арасындағы аударым / Валютаны конвертациялау;paymentOrder_addNewAccountTransfer
Operations;Операции;Операциялар;common_operations
Additional verification upon;Дополнительная проверка по;Дейінгі қосымша тексеру;common_additionalCheckingBy
Sign;Подписать;Қол қою;common_sign
View and Editing of manager data;Просмотр и редактирование данных менеджера;Менеджер деректерін қарау және редакциялау;manager_editor_title
All;Все;Бәрі;global_settings.constants.group.all
The status of a document with this code already exists;Статус документа с таким кодом уже существует;Мұндай коды бар құжат мәртебесі бұрыннан бар;docStatusWithSameCodeAlreadyExists
Name of the bank;Наименование банка;Банктің атауы;transferRequisites_recipientBankName
Editing;Редактировать;Редакциялау;common_edit
Card replenishment;Пополнение карты;Картаны толтыру;cardReplenishment
Active;Активен;Белсенді;organization.grid.active
International name;Интернациональное название;Интернационалды атауы;district_intName
Day is saved;День сохранён!;Күн сақталды!;dayIsSaved
Full name of the user;Ф.И.О. Пользователя;Пайдаланушының аты-жөні;events_executorname
Additory account;Дополнительный аккаунт;Қосымша аккаунт;additionalAccount
Working day;Рабочий день;Жұмыс күні;DayResource.WorkingВay
User;Пользователь;Пайдаланушы;customerUser_user
Type of deposit;Вид депозита;Депозит түрі;depositType
Directory: Currency ;Справочник: Валюта;Анықтамалық: Валюталар;currency_handBooktitle
Code;Код;Код;common_code
calendars selected;календарей выбрано;күнтізбелер таңдалды;calendarsSelected
Actions ;Действия;Әрекеттер;operationsWithLetterType
Accepted;Принят;Қабылдау;document.state.AcceptedInABS
Predefined value;Predefined value;Predefined value;global_settings.constants.predefined_value
View of application;Просмотр заявления;Өтінішті қарау;demandCreate_ViewDemand
Repeat new password;Повтор нового пароля;Жаңа құпиясөзді қайталау;personal_confirmNewPass
Product name;Название продукта;Өнімнің атауы;productName
Amount up to;Сумма до;... дейінгі сома;invoice_amount_to
Schedule;Схема;Сызба;signingrules_schema
Amount by;Сумма по;.... қоса сомасы;domTransfer_amountTo
Create a new reason for unblocking the card;Создать новую Причину разблокировки карты;Картаны бұғаттан шығарудың жаңа себебін жасау;createCardUnblockReason
Invoices from me;Выставленные мной счета;Мен ұсынған шоттар;exposedorder_name
Quick link;Быстрая ссылка;Жылдам сілтеме;quick_link
The new password was entered incorrectly;Новый пароль введен не правильно;Жаңа құпиясөз дұрыс енгізілген жоқ;login.NewPasswordIncorrect
Show balance of all loans;Показать остаток по всех кредитам;Барлық кредиттер бойынша қалдықты көрсету;showAllCreditsBalance
Fax;Факс;Факс;fax
Tasks;Задачи;Тапсырмалар;navigation_jobs
Number;Номер;Нөмір;invoice_number
Registration of a new manager;Регистрация нового менеджера;Жаңа менеджерді тіркеу;manager_new_title
View of the country;Просмотр страны;Елді қарау;countryViewing
Address;Адрес;Мекенжай;intTransfer_recipientBankAddress
Returns;Returns;Returns;navigation_refunds
Error. The digital signature did not pass verification!;Ошибка. Цифровая подпись не прошла проверку!;Қателер: Сандық қолтаңба тексеруден өтпеді!;docSigning_errorSignatureInvalid
Editing of international payments template ;Просмотр \ Редактирование  Шаблона международного платежа;Халықаралық төлем Шаблонын қарау / Редакциялау ;intTransfer_EditTemplate
Categories of applications;Категории заявлений;Өтініш санаттары;navigation_labelReference
View and Editing of the country;Просмотр и редактирование страны;Елді қарау және редакциялау;viewingEditingCountry
Invalid password format;Не правильный формат пароля;Құпиясөз форматы дұрыс емес;common.validation.password.pattern
Country;Страна;Ел;common_country
The name should not exceed 500 characters;Наименование не должно превышать 500 символов;Атауы 500 символдан аспауы тиіс;nameNoMore500Symbols
Transfer/ currency conversion;Перевод/конвертация валюты;Валюта аударымы/конвертациясы;actions_currencyTransferConversion
Application for early loan repayment;Заявка на досрочное погашение кредита;Кредитті мерзімінен бұрын өтеуге өтінім;actions_earlyRepaymentOrder
User type;Тип пользователя;Пайдаланушы типі;sessions_usertype
Rerun date;Дата повторения;Қайталау күні;standing.order.standingDate
International address. Postal code;Международный адрес. Почтовый индекс;Халықаралық  мекенжай. Пошталық индекс;common_addressIntZip
View pension contribution;Просмотр Пенсионноого отчисления;Просмотр Пенсионноого отчисления;paymentOrder_viewPensionContribution
New invoice issue;Выставление нового счета;Жаңа шотты ұсыну;invoice_createNew
Total balance;Общий остаток;Жалпы қалдық;common_balance
Editing;Редактировать;Редакциялау;organization.grid.change
Hide closed deposits;Скрыть закрытые депозиты;Жабық депозиттерді жасыру;hideClosedDeposits
Login;Логин;Логин;sessions_login
Calculate VAT;Рассчитать НДС;ҚҚС есептеу;paymentOrder_calculateVat
Template name;Имя шаблона;Шаблонның аты;document.templateName
Send to bank;Отправить в банк;Банкке жөнелту;action_sentToBank
View and Editing of card blocking reason;Просмотр и редактирование Причины блокировки карты;Картаны бұғаттау себептерін қарау және редакциялау;viewingEditingCardBlockReason
Cashless;БЕЗНАЛИЧНЫЙ;ҚОЛМА-ҚОЛСЫН;CASHLESS
Owner (DN);Владелец (DN);Иесі (DN);companyperson_certificate_subjectDN
User sessions;Сессии пользователей;Пайдаланушылар сесииялары;navigation_sessions
Invalid format;Неверный формат;Дұрыс емес формат;paymentOrder_valid_wrongFormat
Add authorized person;Добавить уполномоченное лицо;Добавить уполномоченное лицо;companyPersons_add
Date and time;Дата и время;Күні мен уақыты;documentHistory_date
Credit name;Название кредита;Кредиттің атауы;creditName
Block;Заблокировать;Бұғаттау;common_deactivate
Number;Номер;Нөмір;common_number
View currency rates;Просмотр Курсов валют;Валюта курсын қарау;exchangeRates_view
Publish;Опубликовать;Жариялау;createDemandType_publish
Delete current field;Удалить текущее поле;Ағымдағы жолды алып тастау;createDemandType_deleteCurrentField
Non-cash cross-rate;Кросс-курс безналичный;Кросс-бағам қолма-қолсыз;exchangeRates_cross
Account for debt repayment;Счет погашения задолженности;Берешекті өтеу шоты;debtsRepaymentAccount
The end;конец;соңы;ENDLowerCase
Comment;Комментарий;Түсініктеме;EventsExcelCreator.Comment
SMS;SMS;SMS;authfactorcreate_SMS
Application filter settings;Настройки фильтра заявлений;Өтініштер сүзгісін баптаулар;demand_filter
Cash purchase;Покупка Наличный;Қолма-қол ақшамен сатып алу;CASH_PURCHASE
Create of the City;Создание Города;Қала жасау;creatingCity
Chief Accountant;Гл. бухгалтер;Бас бухгалтер;paymentOrder_payerChiefAccountant
Correspondent account of the bank;Корреспондентский счёт банка;Банктің корреспонденттік шоты;banks_correspondentBankAccount
Contract date;Дата контракта;Келісім-шарт күні;common_contractDate
Log on with;Вход с;бастап кіру;companyperson_validfrom
Log in by EDS;Войти по ЕЦП;ЭСҚ бойынша кіру;login__signaturetab
Document recall;Отзыв документа;Құжатты кері шақырту;withdraw_doc
Transfer;Перевод;Аударым;transfer
Name of the agent-bank;Наименование Банка Посредника;Делдал Банкінің атауы;intTransfer_agentBankName
Blocked;Блокирован;Бұғатталған;common_blocked
Customer data;Клиентские данные;Клиенттік деректер;clientData
All users are selected;Все пользователи выбраны;Барлық пайдаланушылар таңдалды;customeruser_allselected
Apply;Применить;Қолдану;common_ok
Actions ;Действия;Әрекеттер;operationsWithCardType
Selected user’s;пользователя выбрано;пайдаланушы таңдалды;customeruser_X4selected
Change password;Сменить пароль;Құпиясөзді ауыстыру;customeruser_forcePasswordChange
Dates shuld not be the same;Даты не должны быть одинаковыми;Күндер бірдей болмауы тиіс;exchangeRate.date.same
Set an amount;Зафиксировать сумму;Соманы тіркеу;fix_amount
Error while updating. Is this a duplicate?;Ошибка при обновлении. Возможно это дубликат?;Жаңалағандағы қате. Мүмкін бұл телдана?;updatingCalendarError
Error while requesting a Certification Center;Ошибка при запросе на Удостоверяющий Центр;Куәлендіруші Орталыққа сұраныс жасағандағы қате;vcReqError
Skip and sign in;Пропустить и войти;Өткізу және кіру;login_skipandlogin
Bank details of the counterparty;Реквизиты Банка контрагента;Контрагент Банкі деректемелері;counterparty_bankRequisites
Events up to;События до;.. Дейінгі оқиға;events_eventsto
View and Editing the notification type;Просмотр и редактирование типа уведомления;Хабарлама типін қарау және редакциялау;viewingEditingNotificationType
Payroll refund;Возврат по зарплатному отчислению;Возврат по зарплатному отчислению;refunds.payroll
Your ibank account has been created, please click on the URL below to activate it:;Your ibank account has been created, please click on the URL below to activate it:;Your ibank account has been created, please click on the URL below to activate it:;email.activation.text1
Browser version;Версия броузера;Браузер нұсқасы;events_browser
Regards,;Regards,;Regards,;email.activation.text2
Start a chat;Начать чат;Чатты бастау;startChat
View details /edit;Просмотр деталей / редактировать;Тетіктерді қарау  /редакциялау;common_detailsEdit
Point of delivery;Точка доставки;Жеткізу нүктесі;demandType_delivery
Name or IIN/BIN of sender organization;Наименование или ИИН/БИН организации отправителя;Жіберуші ұйымының атауы немесе ЖСН/БСН;refunds.filter.sender
Setting of access;Настройка доступа;Қолжеткізуді баптау;navigation_permissions
Create a new category;Создать новую категорию;Жаңа санат жасау;CodeCategory_createNewCategory
No;Нет;Жоқ;common_no
User type;Тип пользователя;Пайдаланушы типі;events_usertype
VAT included (12%);C НДС (12%);ҚҚС-пен (12%);paymentOrder_vat12
IIN of the employee is not filled ;Не заполнен ИИН сотрудника;қызметкердің ЖСН толтырылмаған;common_taxCodeIsEmpty
Card block history;История блокировок карты;Карталарды бұғаттау тарихы;cardBlockingHistory
Loan term;Срок займа;Қарыз мерзімі;loanTerm
Directory: Countries ;Справочник: Страны;Анықтамалық: Елдер;handbookCountries
View/Edit Social Template;Просмотр/Редактирование Шаблона  Социального отчисления;Просмотр/Редактирование Шаблона  Социального отчисления;paymentOrder_viewEditSocialTemplate
Resident beneficiary code;Код резидента бенефициара;бенефициар резидентінің  коды;common_benefResidencyCode
Bank's correspondent account ;Кор. счет Банка;Банктің кор.шоты;counterparty_bankAccount
VO code;Код VO;VO коды;intTransfer_codeVo
Verified;Проверен;Тексерілген;document.state.AcceptedInRBS
View and Editing of card type;Просмотр и редактирование Вида карт;Карталар түрін қарау және редакциялау;viewingAndEditingCardType
Synchronized successfully!;Синхронизировано успешно!;Сәтті синхрондалды!;syncSuccessful
Log out;Выход;Шығу;login_exit
View international currency transfer;Просмотр международного перевода валюты;Халықаралық валюта аударымын қарау;intTransfer_view
Actions ;Действия;Әрекеттер;common_depositOperations
Tasks;Задачи;Тапсырмалар;system_job
Starting from the date;Начиная с даты;Күннен бастап;standing.order.from.date
Users’ filter settings;Настройки фильтра пользователей;Пайдаланушылар сүзгісін баптаулар;customerUser_filtertitle
Enter message;Введите сообщение;Хабарламаны енгізіңіз;enterMessage
History by tasks;История по задачам;Тапсырмалар бойынша тарих;navigation_jobs_history
Filter settings;Настройки фильтра;Сүзгіні  баптаулар;common.filter.settings
All accounts are selected;Все счета выбраны;Барлық шоттар таңдалды;common_allAccountsSelected
Invalid code;Неправильный код;Дұрыс емес код;paymentOrder_valid_wrongCode
Name or IIN/BIN of the recipient organization;Наименование или ИИН/БИН организации получателя;Алушы ұйымының атауы немесе ЖСН/БСН;refunds.filter.receiver
Beneficiary account;Счет получателя;Алушы шоты;domTransfer_receiverAccount
Invoice date;Дата инвойса;Инвойс күні;intTransfer_invoiceDate
Edit authorized preson:;Редактирование параметров уполномоченного лица:;Редактирование параметров уполномоченного лица:;companyPersonEdit_title
Create an international money transfer;Создать международный перевод валюты;Халықаралық валюта аударымын жасау;intTransfer_create
In a line;в строке;жолда;payment.import.result.document.line.number
Basic document №;№ основного документа;Негізгі құжаттың № ;withdraw_doc_num
Managers;Менеджеры;Менеджерлер;organizations_managers
In the course of processing;В процессе обработки;Өңдеу процесінде;common_inProcessing
Sign of the right of signature on the behalf of the bank;Признак права подписи от имени банка;Банк атынан қол қою құқығы белгісі ;manager_isBankSign
Manager menu;Меню менеджера;Менеджердің мәзірі;navigation_menutree_manager
CRTR;КПП;КПП;intTransfer_recipientKpp
Import messages;Сообщения импорта;Импорт  хабарламасы;upload_documentForUpload
from;от;...-дан;common_from
List of managers;Список менеджеров;Менеджерлер тізімі;managers_title
Important;Важен;Маңызды;signingrules_inorder
Comment;Комментарий;Түсініктеме;events_comment
Create of the card type;Создание Вида карт;Карталар  түрін жасау;creatingCardType
Are you sure you want to delete the status of document;Вы действительно хотите удалить Статус документа;Сіз шынымен Құжаттың мәртебесін өшіргіңіз келеді ме;sureYouWantDeleteDocStatus
Mailing address;Почтовый адрес;Пошта мекен-жайы;postAddress
Account details;Детали счёта;Шоттың егжей-тегжейлері;common_accountDetails
E-mail change;Изменить email;email өзгерту;personal_changeEmail
Account status;Статус счёта;Шот мәртебесі;accountStatus
Email is not valid;не правильный email;Дұрыс емес  email;common_Invalid_email
Payer's Bank;Банк плательщика;Төлеушінің Банкі;payersBank
Create an application for opening an account;Создать заявку на открытие счёта;Шот ашуға тапсырыс жасау;common_applyNewAccount
Revoked;Отменен;Болдырылмады;common_canceled
Start of action;Начало действия;Әрекеттің басталуы;exchangeRates_start
Create a new Currency;Создание новой Валюты;Жаңа Валюта жасау;currency_newcurrency
Create a letter;Создать письмо;Хат жасау;letterCreate
PCO;ОТП;ОТП;login_factor_Generator
Mandatory field!;Обязательное поле!;Міндетті жол!;common_mandatory_field
Clear;Очистить;Тазалау;common_clean
Details unit: Receiver;Блок реквизитов: Получатель;Деректемелер блогы: Алушы;recipientDetailsBlock
Document number;Номер документа;Құжат нөмірі;common_documentNumber
This filed should not exceed 64 characters!;Это поле не должно превышать 64 символа!;Бұл жолда 64 белгіден артық болмауы тиіс!;noMore64Symbols
Clear;Очистить;Тазалау;common_clear
Transaction type;Тип транзакции;Транзакциялар типі;transactionType
Valid from;Действует с;бастап әрекет етеді;companyperson_certificate_from
Wrong try;Неверная попытка;Дұрыс емес қадам;otp.fail_attempt
Payment destination code (PDC);Код назначения платежа(КНП);Төлемнің белгілену коды  (ТБК);purposeCode
Hide balance for all accounts;Скрыть остаток по всем счетам;Барлық шоттар бойынша қалдықты жасыру;common_hideBalance
View of details;Просмотр деталей;Тетіктерді қарау;banks_localBankOperations
View and Editing of the document status;Просмотр и редактирование Статуса документа;Құжат мәртебесін қарау және редакциялау;viewingEditingDocStatus
in;в;сонда;common_in
Create a salary deduction;Создание Зарплатного отчисления;Еңбекақы аудару жасау;paymentOrder_addNewPayroll
IIN / BIN of the recipient;ИИН/БИН получателя;Алушының ЖСН/БСН;invoice.receiver.bin
Task Group List;Список Групп задач;Міндеттер Тобының тізімі;jobs.CroupList
Wrong file type. --- acceptable;Неверный тип файла. Допустимы:;Дұрыс емес файл типі. Жол беріледі:;common_WrongFileType
Managers;Менеджеры;Менеджерлер;navigation_managers
Branch;Филиал;Филиал;common_branch
Local banks;Локальные банки;Жергілікті банктер ;navigation_localBanks
Warning;Предупреждение;Ескерту;warning
Recipient's beneficiary code;КБЕ Получателя;Алушының КБЕ;transferRequisites_recipientResidencyCode
Country Code;Код страны;Елдің коды;intTransfer_recipientBankCountryCode
Интернет-протокол;IP;IP;EventsExcelCreator.Terminal
Add ;Добавить;Қосу;paymentOrder_add
id;ид;сд;common_id
The purpose of the payment has not changed;Назначение платежа не изменилось;Төлемнің белгіленуі өзгермеген;paymentOrder_paymentHasNotChanged
User action;Действие пользователя;Пайдаланушының әрекеті;events_useraction
Account type;Вид счёта;Шот түрі;accountType
Task type name;Название типа задачи;Тапсырма типінің атауы;jobs.jobType
Import is completed;Импорт завершен;Импорт аяқталды;common_imported
Change password;смена пароля;Құпиясөзді ауыстыру;changepassword__title
View of the letter;Просмотр письма;Хатты қарау;letterViewing
Country;Страна;Ел;intTransfer_recipientBankCountry
Change password;смена пароля;Құпиясөзді ауыстыру;customeruser_changepassword
Exchange rates;Курсы валют;Валюталардың бағамдары;exchangeRates_exchangeRates
Request URL;Request URL;Request URL;requests_url
Certificate ;Сертификат;Сертификат;companyperson_certificate
Permitted roles;Разрешенные роли;Рұқсат етілген рольдер;authfactor_rolesAllowed
Details of the intermediary agent- bank;Реквизиты Банка посредника;Делдал Банкі деректемелері ;counterparty_agentRequisites
Rules for signing documents;Правила подписи документов;Құжаттарға қол қою ережлері;signingrules_title
Add new calendar;Добавить новый календарь;Жаңа күнтізбені қосу;addNewCalendar
The result of importing document No.;Результат импорта документа №;№    құжат импортының нәтижесі;payment.import.result.document
Invoice for me;Выставленный мне счет;Маған ұсынылған шот;invoice_view_title
User roles;Роли пользователей;Пайдаланушылар ролдері;roles_title
Constant viewing/editing;Просмотр/редактирование константы;Константаларды қарау / редакциялау ;global_settings.constants.screen.view_edit
Message history;История сообщений;Хабарламалар тарихы;messageHistory
Client;Клиент;Клиент;client
Invoice for me;Выставленный мне счет;Маған ұсынылған шот;intTransfer_invoice
Delete template;Удалить шаблон;Шаблонды алып тастау;common_deleteTemplates
Date of issue;Дата выпуска;Шығару күні;releaseDate
Search;Поиск;Іздеу;grid_search
Электронная почта ;Email;Email;customeruser_email
Amount in transaction currency;Сумма в валюте транзакции;Транзакция валютасындағы сомасы;amountInTransactionCurrency
Homepage;Главная страница;Бас бет;notFound_main_page
field name;имя поля;жолдың аты;field_name
Payee's BIN/IIN;БИН/ИИН Получателя;Алушының БСН/ЖСН;transferRequisites_recipientCode
Upload;Загрузить;Жүктеу;common_download
Limits;Лимиты;Шектелімдер;companyPersonEdit_limittabTitle
Actions ;Действия;Әрекеттер;paymentOrder_paymentPurposeOperations
Currency IDs should be different;ИД валют должны быть разными;Валюталардың СД әртүрлі болуы тиіс;exchangeRate.currency.id.same
Name;Название;Атауы;notification_description
Work with PCO tokens;Работа с ОТП токенами;ОТП токендермен жұмыс;workingWithOtpTokens
BIC;БИК;БСК;bik
Create a new type of card products;Создать новый Вид карточных продуктов;Карта өнімдерінің жаңа түрін жасау;createNewCardProductType
Create new social contribution;Создание Социального отчисления;Создание Социального отчисления;paymentOrder_addNewSocialContribution
Subdivision;Подразделение;Бөлімше;managerView_subdivision
All statements are selected;Все заявления выбраны;Барлық өтініштер таңдалды;demand_allDemandChecked
Amount up to;Сумма до;... дейінгі сома;signingrules_amountTo
Name;Наименование;Атауы;senderName
User roles;Роли пользователей;Пайдаланушылар ролдері;navigation_usersroles
Status;Статус;Мәртебе;events_status
Payee's Bank;Банк получателя;Алушының Банкі;intTransfer_beneficiaryBankDetails
PCO Password;ОТП пароль;ОТП құпиясөз;auth.opt.token
Type of signature;Тип подписи;Қол қою типі;companyperson_signLevel
Create new document type;Создать новый Тип документа;Құжаттың жаңа типін жасау;createDocType
Bank's BIC International;БИК банка интернациональный;Интернационалдық банкінің БСК;banks_bikBankIntNat
Action;Действие;Әрекет;events_action
Cancel publication;Отменить публикацию;Жариялауды болдырмау;createDemandType_unpublish
BIC of Payee's Bank;БИК Банка Получателя;Алушы банкінің БСК;transferRequisites_recipientBankCode
No records to export;Нет записей для экспорта;Экспорт үшін жазбалар жоқ;jobs.exportToExcel.emptyList
Cashless purchase ;Безналичный покупка;Қолма-қол ақшасыз сатып алу;exchangeRates_cashlessPurchase
Editing;Редактировать;Редакциялау;company.persons.change
Associated button;Связанные кнопка;Байланысты түймешік;CustomRequestType_relatedButton
Create;Создать;Жасау;common_create
This filed should not exceed 20 characters!;Это поле не должно превышать 20 символа!;Бұл жолда 20 белгіден артық болмауы тиіс!;noMore20Symbols
Obligation to fill the field;Обязательность заполнения;Толтыру міндеттілігі;requiredField
Deleted;Удален;Алып тасталды;customeruser_deleted
The field is not filled -;поле не заполнено -;жол толтырылған жоқ - ;common_field_is_empty
Publication Status: Published;Статус публикации: опубликовано;Жариялау мәртебесі: жарияланды;createDemandType_statusPublishedTrue
Status:;Status:;Status:;error.status
Recall;Отозвать;Кері шақырту;common_withdraw
Name;Наименование;Атауы;paymentOrder_recipientBankName
Document type with this code already exists;Тип документа с таким кодом уже существует;Мұндай коды бар құжат бұрыннан бар;docTypeWithSameCodeAlreadyExists
Task type name;Название типа задачи;Тапсырма типінің атауы;jobs.type_name
Name;Название;Атауы;currency_currencyname
Actions ;Действия;Әрекеттер;operationsWithBank
Interest rate;Процентная ставка;Пайыздық мөлшерлеме;interestRate
CRTR;КПП;КПП;counterparty_kpp
You must provide the valid data!;Вы должны предоставить действительные данные!;Сіз жарамды деректерді ұсынуға тиіссіз!;valid.data.shouldExists
Roles;Роли;Рольдер;companyperson_roles
Active;Активный;Белсенді;sessions_active
Completed;Завершенный;Аяқталған;ps_Completed
Create a payment destination;Создание назначения платежа;Төлем арналымын жасау;paymentOrder_createPaymentPurpose
Attach file;Прикрепить файл;Файлды тіркеу;intTransfer_uploadFile
Date from;Дата с;бастап күні;common_periodFrom
Sign;Подписать;Қол қою;common.sign
Rules for signing  is not found;Правило подписи не найдено;Қол қою ережесі табылған жоқ;workflow_signatureRuleNotFound
Login;Логин;Логин;login_login
Organization is not defined;Организация не определена;Ұйым анықталған жоқ;common_orgIsNotDefined
Add role;Добавить роль;Рөлді қосу;role_add
Pay ;Оплатить;Төлеу;action_pay
Log in;Войти;Кіру ;login_to_enter
Effective interest rate;Эффективная процентная ставка;ТПМ;effectiveInterestRate
Canceled;Отмененный;Болдырылмаған;ps_Canceled
Hide closed credits;Скрыть закрытые кредиты;Жабық кредиттерді жасыру;hideClosedCredits
Non-cash sales;Продажа Безналичный;Қолма-қол ақшасыз сату;CASHLESS_SALE
Card blocking/unblocking;Блокирование/Разблокирование карты;Картаны бұғаттау/бұғатсыздандыру;cardBlockUnblock
List of users;Список пользователей;Пайдаланушылар тізімі;customeruser_userslist
there are errors;есть ошибки;қателер бар;common_has_error
View/edit social contribution;Просмотр/редактирование Социального отчисления;Просмотр/редактирование Социального отчисления;paymentOrder_viewEditSocialContribution
Types of currency exchange rates are absent;Типы курсов валют отсутствуют;Валюта курстар типтері жоқ;noExchangeRateTypes
Receive;Получить;Алу;common_get
Account managers;Менеджеры счёта;Шот менеджерлері;common_accountManagers
Card  status;Статус карты;Карта мәртебесі;cardStatus
Country (agent-bank);Страна (Банка Посредника);Ел (Делдал Банкінің);intTransfer_agentBankCountry
months; месяца;айлар;months
Point type;Тип точки;Нүкте типі;pointType
View of details;Просмотр деталей;Тетіктерді қарау;common_details
Account selected; счёта выбрано;шоттар таңдалды;common_accountsSelected
Authorized persons;Уполномоченные лица;Уполномоченные лица;companyPersons_title
Response code;Код ответа;Жауап коды;requests_responseCode
mail;Почта;Пошта;navigation_mail
Actions ;Действия;Әрекеттер;cardsOperations
Editing a role;Редактирование роли;Рольді редакциялау;role_editTitle
Quick links ;Быстрые ссылки;Жылдам сілтеме;quick_links
Show keyboard;Показать клавиатуру;Пернетақтаны көрсету;login_display_keyboard
Publisher (DN);Издатель (DN);Баспашы (DN) ;companyperson_certificate_issuerDN
Message;Сообщение;Хабарлама ;documentHistory_massage
Isolated generator;Автономный генератор;Дербес генератор;authfactorcreate_generator
The status of the document is not defined;Статус документа не определен;Құжат мәртебесі анықталған жоқ;workflow_statusNotFound
Other operations;Прочие операции;Басқа операциялар;navigation_otherTransactions
Create a template;Создать шаблон;Шаблон жасау;paymentOrder_createTemplate
Closed deposits;Закрытые депозиты;Жабық депозиттер;showClosedDeposits
List of foreign exchange contracts;Список валютных контрактов;Валюталық келісімшарттар тізімі;counterparty_contractsList
Invalid file type. Acceptable;Неверный тип файла. Допустимы;Дұрыс емес файл типі. Жол беріледі;wrongFileType
Password change;Изменить пароль;Құпиясөзді өзгерту;personal_changePassword
Role of manager;Роль менеджера;Менеджер ролі;managerView_role
Type with this code already exists;Тип с таким кодом уже существует;Мұндай коды бар типі бұрыннан бар;authfactoredit_alreadyexist
Locality;Населённый пункт;Елді жер;common_locality
Constant group;Группа констант;Константалар тобы;global_settings.constants.table.col.group
Short name;Краткое имя;Қысқаша аты;customeruser_shortName
Import of document;Импорт документа;Құжаттың импорты;common_documentImport
Delete quick link settings;Удалить настройки быстрых ссылок;Жылдам сілтемелерді баптауды алып тастау;clear_links_settings
Closing date;Дата завершения;Аяқтау күні;completionDate
City;Город;Қала;common_city
Countries ;Страны;Елдер;navigation_countries
Closed;Закрытые;Жабық ;common_closed
Authorization directory;Справочник полномочий;Уәкілеттіліктер анықтамалығы;menutree_title
Actions ;Действия;Әрекеттер;operationsWithCity
Unknown;Неизвестный;Белгісіз;key_unknown
Card statuses;Статусы карт;Карта мәртебесі;cardsStatuses
Print;Печать;Мөр / Басып шығару;paymentOrder_print
Details;Реквизиты;Деректемелер;invoice_requisites
BIC of Payee's Bank;БИК Банка Получателя;Алушы банкінің БСК;paymentOrder_recipientBankCode
Validity;Срок действия;Әрекет мерзімі;invoice_expire
BIN/IIN;БИН/ИИН;БСН/ЖСН;common_bin
To accept;Принять;Қабылдау;accept
Personal account;Личный кабинет;Жеке кабинет;navigation_personalOffice
Sale;Продажа;Сату;exchangeRates_sale
Enrollment;Зачисление;Есепке жатқызу;accTransfer_credit
Create a new application type;Создать новый тип заявлени;Өтініштің жаңа типін жасау;demandType_newDemand
purpose of payment;назначение платежа;төлемнің белгіленуі;paymentOrder_paymentPurpose
Manager;Менеджер;Менеджер;refunds.manager
Are you sure you want to delete card product type №;Вы действительно хотите удалить Вид карточных продуктов №;Сіз шынымен № карталық өнімдердің Түрін өшіргіңіз келеді ме;sureYouWantDeleteCardProductType
New credit;Новый кредит;Жаңа кредит;credit_addNewDemand
Currency;Валюта;Валюта;common_currency
null;ibution=Просмотр/редактирование Пенсионноого отчисления;null;paymentOrder_viewEditPensionContr
Operation system and browser version;Версия операционной системы, браузера;Операциялық жүйенің, браузердің нұсқасы;EventsExcelCreator.Osversion
Finished;Завершен;Аяқталды;common_completed
Status;Состояние;Жағдайы;common_state
Group of task types;Группа типа задачи;Міндет түрінің тобы;jobs.job_group
Selected file;Выбранный файл;Таңдалған файл;upload_choosenFile
Create a new ATM / branch / terminal;Создать новый Банкомат/отделение/терминал;Жаңа Банкомат / бөлімше / терминал жасау;createAtmBranchTerminal
Account;Учетная запись;Есептік жазба;companyPersons_useraccount
Date of document;Дата документа;Құжаттың күні;invoice_date
Viewing/editing of bank order;Просмотр/редактирование Платежного поручения;Төлемдік тапсырманы қарау / редакциялау;paymentOrder_viewEditOrder
Extract;Выписка;Үзінді көшірме;navigation_statement
Publication date;Дата публикации;Жариялау күні;news_publDate
Point of delivery of the application;Точка доставки заявления;Өтінішті жеткізу нүктесі;CustomRequestType_demandEndPoint
EDS;ЭЦП;ЭСҚ;authfactorcreate_signature
Importing of PCO tokens;Импорт ОТП токенов;ОТП токендердің импорты;navigation_otp.import
Balance;Остаток;Қалдық;common_plannedBalance
Three-letter code;Трехбуквенный код;Үшәріпті  код;threeLetterCode
Management;Менеджмент;Менеджмент;navigation_management
Editing the rule for a signature;Редактирование правила для подписи;Қол қоюға арналған ережені редакциялау;signingrules_edit_title
Currency is absent ;Валюты отсутствуют;Валюталар жоқ;noCurrencies
Send for signature;Отправить на подпись;Қол қоюға жөнелту;paymentOrder_sendForSignature
No stores found;Хранилища не найдены;Қойма табылған жоқ;docSigning_errorKeyList
View and Editing of card unblicking reason;Просмотр и редактирование Причины разблокировки карты;Картаны бұғаттан шығару себебін қарау және редакциялау;viewingEditingCardUnblockReason
Type;Тип;Тип;limit_type
Chat date;Дата чата;Чаттың күні;chatDate
Send for signature;Отправить на подпись;Қол қоюға жөнелту;common.submit
Transition is not found;Переход не найден;Ауысу табылған жоқ;workflow_actionNotFound
Not for signing the documents;Не для подписания документов;Құжаттарға қол қоюға арналмаған;key_not_for_sign
