en;ru;kk;translation_key;output_channel
Create a payment order template;Создание Шаблона Платежного поручения;Төлем тапсырмасының шаблонын жасау;paymentOrder_addNewOrderTemplate;W
Cancel search;Отменить поиск;Іздеуді болдырмау;grid_cancelsearch;W
Activate;Активировать;Белсендіру;common_activate;W
View local bank;Просмотр локального банка;Жергілікті банкіні қарау;banks_viewLocalBank;W
Keystore;Хранилище ключей;Кілттер қоймасы;docSigning_profile;W
1 calendar selected;1 календарь выбран;2 күнтізбе таңдалды;oneCalendarIsSelected;W
Show closed accounts;Показать закрытые счета;Жабық шоттарды көрсету;common_showClosedAccounts;W
Type;Вид;Түрі;common_kind;W
applications selected;заявлений выбрано;өтініштер таңдалды;demand_demandsChecked;W
Certificate is missing;Сертификат отсутствует;Сертификат жоқ;certificate.missing;W
BIC/SWIFT of Beneficiary bank;БИК/SWIFT Банка Посредника;Делдал Банкінің БСК/SWIFT;intTransfer_agentBankSwift;W
This field should contain 3 characters;Это поле должно содержать 3 символа!;Бұл жолда 3 белгі болуы тиіс!;common_field_atleast3chars;W
Invalid number format;Не правильный формат числа;Сан форматы дұрыс емес;common_WorngNumberFormat;W
To log in, click;Чтобы войти в систему, нажмите;Жүйеге кіру үшін басыңыз;errorpage418_message;W
The code should consist only of digits;Код должен состоять только из цифр;Код тек сандардан тұруы тиіс;onlyDigitsCode;W
Card number;Номер карты;Карта нөмірі;cardNumber;W
System modules;Модули системы;Жүйенің модульдері;systemModules;W
Account;Счет;Шот;paymentOrder_recipientAccount;W
This currency is not available for payment, contact the bank support service;Данная валюта недоступна для оплаты, обратитесь в службу поддержки банка;Бұл валюта төлеу үшін қолжетімсіз, банктің қолдау қызметіне жүгініңіз;intTransfer_errorCurrencyUnavailable;W
Rate type;Тип курса;Курс типі;exchangeRates_courseType;W
Geolocation;Геопозиция;Геопозиция;geoposition;W
Current password;Текущий пароль;Ағымдағы құпиясөз;personal_currentPass;W
City of (Beneficiary bank);Город (Банка Посредника);Қала (Делдалдың Банкі);intTransfer_agentBankCity;W
BIC National;БИК национальный;БСК ұлттық;bikNat;W
1 user  selected ;1 пользователь выбран;3 пайдаланушы таңдалды;customeruser_1selected;W
Invoices;Счета;Шоттар;navigation_accounts;W
Create a Card Status;Создание Статуса карт;Карта мәртебесін жасау;creatingCardStatus;W
Early to sign;Рано для подписания;Қол қоюға ерте;key_too_early;W
Query log;Журнал запросов;Сұраулар журналы;requests_title;W
Sale;Продажа;Сату;SALE;W
The rate is not available;Курс не известен;Бағам белгісіз;exchangeRates_exchangeRatesAreNotKnown;W
Application designer;Конструктор заявлений;Өтініштер құраушысы;navigation_demand_constructor;W
This field should contain figures only;Это поле должно содержать только цифры!;Бұл жолда тек сандар болуы тиіс! ;common_field_onlydigits;W
Account Number;Номер счета;Шот нөмірі;accountNumber;W
Authentication by token is not available to you;Автентификация по токену Вам не доступна;Токен бойынша аутентификациялау  Сізге қолжетімсіз;otp.otp_auth_not_allowed;W
Loan amount;Сумма Займа;Қарыз сомасы;loanAmount;W
Method;Метод;Әдіс;requests_method;W
Create a System Module;Создание Модуля системы;Жүйе модулін жасау;creatingSystemModule;W
Value (setting, entry, meaning);Значение;Мәні;global_settings.constants.value;W
Individual course;Индивидуальный курс;Жеке курс;paymentOrder_individualExchangeRate;W
File format;Формат файла;Файл форматы;fileFormat;W
Information from the sender to the recipient;Информация отправителя получателю;Жіберушінің алушыға ақпараты;intTransfer_recipientInfo;W
 ; ; ;common_blank;W
The digital code;Цифровой код;Сандық код;currency_field_digitcode;W
This field should contain 3 figures;Это поле должно содержать 3 цифры!;Бұл жолда 3 сан  болуы тиіс!;common_field_atleast3digits;W
Credit limit;Кредитный лимит;Кредиттік шектелім;creditLimit;W
Login;Логин;Логин;customeruser_login;W
Number of sessions;Количество сессий;Сессиялар саны;customeruser_sessionsLimit;W
Create a new area;Создание новой области;Жаңа сала жасау;districts_create;W
beneficiary name;наименование бенефициара;бенефициардың атауы;common_benefName;W
View and Editing of card status;Просмотр и редактирование Статуса карт;Карта мәртебесін қарау және редакциялау;viewingEditingCardsStatus;W
Actions ;Действия;Әрекеттер;organizations_operations;W
Types of Applications;Типы Заявлений;Өтініштер типтері;navigation_demandType;W
Date of birth;Дата рождения;Туған күні;paymentOrder_birthDate;W
Role name;Название роли;Рөлдің атауы;role_name;W
Event filter settings;Настройки фильтра событий;Оқиғалар сүзгісін баптаулар;events_filtertitle;W
Directory field;Поле справочника;Анықтамалық жолы;temp_fieldsReferenceField;W
Message from the bank;Сообщение из банка;Банкіден хабарлама;paymentOrder_bankResponse;W
Account;Счет;Шот;signingrules_account;W
Change the current field of application type;Изменить текущее поле типа заявления;Өтініш типінің ағымдағы жолын өзгерту ;change_custom_field;W
Recipient;Получатель;Алушы;standing.order.receiver;W
Constants;Константы;Константалар;global_settings.constants.table.name;W
Action;Действие;Әрекет;EventsExcelCreator.Action;W
Type of the letter with this code already exists;Тип письма с таким кодом уже существует;Мұндай коды бар хат типі бұрыннан бар;letterTypeWithSameCodeAlreadyExists;W
accounts selected; счетов выбрано;шоттар таңдалды;common_accsSelected;W
Status;Статус;Мәртебе;UsersExcelCreator.Status;W
ibank Team.;ibank Team.;ibank Team.;email.signature;W
When logging in using the login and password, only the information service is available;При входе по логину и паролю доступен только информационный сервис;Логин және құпиясөз арқылы кіргенде тек ақпараттық сервис қол жетімді;login_alert;W
Save employees;Сохранить сотрудников;Қызметкерлерді сақтау;paymentOrder_saveEmployees;W
Current application saved;Текущее заявление сохранено;Ағымдағы өтініш сақталған;demandCreate_Curent_demand_saved;W
Category;Категория;Санат;demandType_category;W
Boolean value;Логическое значение;Логикалық маңызы;global_settings.constants.logical_value;W
Account;Счет;Шот;common_account;W
Employee's details;Детали сотрудника;Қызметкердің егжей-тегжейлері;employee_detailsEmployee;W
Valid upon;Действует по;аралығында әрекет етеді;authfactor_to;W
Admissible amount for;Сумма зачисления по;... қоса есептеу сомасы;accTransfer_creditAmountTo;W
Manager;Менеджер;Менеджер;paymentOrder_manager;W
The field should be;Поле должно быть;Жол болуы тиіс;common_length;W
Transaction details;Детали транзакции;Транзакцияның егжей-тегжейлері;transactionDetails;W
You were deleted by the bank administrator;Вы были удалены администратором банка;Сіз банк әкімшісімен жойылдыңыз;errorpage418_title;W
Such  bank does not exist;Такой банк не существует;Мұндай банк жоқ;paymentOrder_valid_bankNotExist;W
Budget classification code (BCC);Код бюджетной классификации(КБК);Бюджеттік жіктеу коды (БЖК);budgetClassificationCode;W
1 symbol;1 символ;1 символ;common_field_1symbol;W
Request for re-issue of the certificate is created. Wait the manager's response;Запрос на перевыпуск сертификата создан. Ожидайте ответ менеджера;Сертификатты қайта шығаруға сұраным  жасалды. Менеджерден жауап күтіңіз;certReqCreated;W
Name of the manager;ФИО менеджера;Менеджердің аты-жөні;managerInitials;W
Save and go to the list;Сохранить и перейти в список;Сақтау және тізімге көшу;createDemandType_saveAndGo;W
Dear {0};Dear {0};Dear {0};email.reset.greeting;W
View and Editing the bank;Просмотр и редактирование банка;Банкіні қарау және редакциялау;viewingEditingBank;W
Name;Название;Атауы;common_name;W
You using technological key. Shoould reissue for a year?;Вы используете технологический ключ. Перевыпустить на год?;Сіз технологиялық кілтті пайдаланасыз. Бір жылға қайта шығару керек пе?;reissuanceMessage;W
Base currency;Базовая валюта;Базалық  валюта;exchangeRates_baseCurrency;W
Algorithm;Алгоритм;Алгоритм;algorithm;W
Total balance;Суммарный остаток;Сомаланған қалдық;sum_balance;W
Default value;Значение по умолчанию;Үнсіздік бойынша мәні;options_default;W
history;история;тарих;paymentOrder_history;W
This payment destination already exists;Такое назначение платежа уже существует;Мұндай төлем арналымы бұрыннан бар;paymentOrder_purposeAlreadyExist;W
Create a calendar;Создание календаря;Күнтізбе жасау;calendarCreating;W
Directories;Справочники;Анықтамалықтар;navigation_commonHandbooks;W
Error of setting fields;Ошибка при установки полей;Жолдарды орнатқандағы қате;Error_in_setFields;W
Lookup;Просмотр;Қарау;common_view;W
First value;Первое значение;Бірінші мәні;firstValue;W
Inactive;Неактивен;Активті емес;key_inactive;W
Final state;Конечное состояние;Соңғы күйі;documentHistory_endState;W
Days with special schedule ;Дни со специальным графиком;Арнайы кестемен күндер;daysWithASpecialSchedule;W
On delay;На просрочке;Мерзімі кешіктірілуде;ps_Overdie;W
Phone change;Изменение телефона;Телефонды  өзгерту;personal_changingPhone;W
Date;Дата;Күні;EventsExcelCreator.EventDateTime;W
Contract accession number date;Дата учетного номера контракта;Келісім-шарттың есептік нөмірі күні;common_contractAuditDate;W
Search;Поиск;Іздеу;common_search;W
Create a new City;Создать новый Город;жаңа Қала жасау;createNewCity;W
Account;Счет;Шот;invoice_account;W
Currency ID should be a digit;ИД валюты должно быть цифрой;Валютаның СД сан болуы тиіс;exchangeRate.currency.id.mustBeNumeric;W
Sales rate;Курс продажи;Сату бағамы;exchangeRates_courseSale;W
here;здесь;осы жерде;notFound_here;W
Editing;Редактировать;Редакциялау;action_toDraft;W
Yes;Да;Иә;boolean_true;W
Creation/processing date;Дата создания/обработки;Жасау/өңдеу күні;dateCreateProcessing;W
Address;Адрес;Мекенжай;common_address;W
Status;Статус;Мәртебе;sessions_isactive;W
Empowerments will be replaced in;Полномочия сменятся через;Уәкілеттілігі ... кейін өзгереді;mainbar_authorityChanges;W
Standing orders ;Длительные поручения;Ұзақ тапсырмалар ;navigation_standingOrders;W
Blocking characteristic;Признак блокировки;Бұғаттау белгісі;organization.grid.column.status;W
External system;Внешняя система;Сыртқы жүйесі;externalSystem;W
Employee list is empty;Список сотрудников не заполнен;Қызметкерлер тізімі толтырылмаған;paymentOrder_employeesListEmpty;W
User menu;Меню пользователя;Пайдаланушының мәзірі;navigation_menutree_customer;W
Filter settings for standing orders;Настройки фильтра длительных поручений;Ұзақ тапсырмалар сүзгісін баптаулар;standing_order_filter;W
There are no authorization factors;Отсутствуют факторы авторизации;Авторландыру факторлары жоқ;signature.noAuthFactors;W
BIC International;БИК международный;БСК халықаралық;bikInt;W
Log on after;Вход после;кейін кіру;sessions_filterfrom;W
Selected file;Выбранный файл;Таңдалған файл;common_selectedFile;W
Service channel (Web, mob);Канал обслуживания (Web, mob);Қызмет көрсету арнасы (Web, mob);events_servicechannel;W
IIN/BIN;ИИН/БИН;ЖСН/БСН;paymentOrder_taxCode;W
Key for transfer;Ключ для перевода;Аудару үшін кілт;demandType_createkeyForTranslate;W
Show;Показать;Көрсету;common_show;W
Content;Содержание;Мазмұны;news_desc;W
ibank account activation;ibank account activation;ibank account activation;email.activation.title;W
Viewing/Editing;Просмотр/Редактирование;Қарау / Редакциялау;viewingEditingDeposit;W
Read;Прочитано;Оқылды;read;W
Organizations;Организации;Ұйымдар;organizations_organizations;W
Role used;Роль используется;Роль пайдаланылады;role_roleUsed;W
List of document recalls;Список отзывов документов;Құжаттарды кері шақырту тізімі;documentWithdrow.list;W
Actions history;История действий;Әрекеттер тарихы;navigation_events;W
National Bank;Нацбанк;Ұлттық банк;NB;W
View of transfers between own accounts /Currency conversions;Просмотр Перевода между своими счетами / Конвертации валюты;Өз шоттары арасындағы аударымды / Валюта конвертациялауды қарау;paymentOrder_viewAccountTransfer;W
Actions ;Действия;Әрекеттер;exchangeRates_operations;W
Types of multifactor authorization;Типы многофакторной авторизации;Көпфакторлы авторландыру типтері;authFactorsTypes;W
Mb;Мб;Мб;Mb;W
Document type;Тип документа;Құжат типі;signingrules_docType;W
Your account has been temporarily blocked! Expected activation time of the account, min;Ваша учетная запись временно заблокирована! Ожидаемое время активации учетной записи, мин;Сіздің есеп жазбаңыз уақытша бұғатталған!  Есеп жазбаны белсендірудің күтілетін уақыты, мин;login.ProfileIsNotActive;W
Update day;Обновить день;Кұнді жаңалау;updateDay;W
Regards,;Regards,;Regards,;email.reset.text2;W
For your ibank account a password reset was requested, please click on the URL below to reset it:;For your ibank account a password reset was requested, please click on the URL below to reset it:;For your ibank account a password reset was requested, please click on the URL below to reset it:;email.reset.text1;W
Account name;Название счёта;Шоттың атауы;accountName;W
Workers;Рабочие;Жұмысшылар;common_workDocument;W
Currency of deposit;Валюта зачисления;Есепке жатқызу валютасы;paymentOrder_creditCurrency;W
Name;Наименование;Атауы;demandType_name;W
Account opening date;Дата открытия счёта;Шотты ашу күні;account_openingDate;W
Individual privileges;Индивидуальные привилегии;Жеке артықшылықтар;companyperson_indprivileges;W
Enter reciever's name or account;Введите имя получателя или счет;Алушының атын немесе шотты енгізіңіз;invoice_search;W
Adding limit;Добавление лимита;Шектелімді қосу;limit_add;W
Unable to delete due to linked data;Удаление невозможно из-за свзанных данных;Байланысты деректерге бола алып тастау мүмкін емес;common_deleteimpossible;W
Subject;Тема;Тақырып;multicasting_theme;W
Errors:;Ошибки:;Қателер: Сандық қолтаңба тексеруден өтпеді!;common_hasError;W
Directory;Справочник;Анықтамалық;temp_sourceCodeField;W
Type of card;Вид карты;Картаның түрі;cardType;W
Head of;Руководитель;Басшылар;CompanyPerson_Director;W
ISO code;Код ISO;ISO коды;currency_ISOcode;W
Search by name or account number;Поиск по наименованию или номеру счета;Атауы немесе шот нөмірі бойынша іздеу;common_searchNameNumber;W
Accurately document;Документ без ошибок;Қателерсіз құжат;Document_does_not_has_error;W
Receivers' group;Группа получателей;Алушылар тобы;multicasting_group;W
Create a new card type;Создать новый Вид карт;Карталардың жаңа түрін жасау;createCardType;W
Limit;Лимит;Шектелім ;signingrules_limit;W
Document statuses;Статусы документа;Құжат мәртебесі;documentStatuses;W
Reason;Причина;Себеп;reason;W
Key;Ключ;Кілт;docSigning_Key;W
Possibility to attach the file;Возможность прикреплять файл;Файлды тіркеу мүмкіндігі;Can_attache_file;W
Total loan amount:;Сумма кредитов:;Кредиттер сомасы:;credit_creditsSum;W
Maximum operating time (in sec);Максимальное время работы( в сек);Максималды жұмыс уақыты (сек);jobs.maxExecutionTime;W
Viewing/editing of transfer between own accounts/ currency converter ;Просмотр/редактирование Перевода между своими счетами / Конвертации валюты;Өз шоттары арасындағы аударымды / Валюта конвертациялауды қарау / редакциялау;paymentOrder_viewEditAccountTransfer;W
Download mobile banking;Скачивайте мобильный банкинг;Мобильді банкингті жүктеп алыңыз;login_mobile;W
The current organization is not the owner of the document;Текущая организация не является владельцем документа;Ағымдағы ұйым құжат иесі болып табылмайды;signature.orgNotOwnerDoc;W
Types;Типы;Типтер;authfactorcreate_types;W
Serial number;Серийный номер;Сериялық нөмірі;companyperson_certificate_sn;W
Amount;Сумма;Сома;limit_amount;W
Second meaning;Второе значение;Екінші мән;secondValue;W
Constant group;Группы констант;Константалар тобы;global_settings.constants.group.screen.list;W
Conversion;Конвертация;Конвертация;navigation_conversion;W
Such  code does not exist;Такой код не существует;Мұндай код жоқ;paymentOrder_valid_codeNotExist;W
Copy application;Копировать заявление;Өтініштің көшірмесін жасау;demandCreate_repeat;W
The purpose of the payment should not exceed 420 characters;Назначение платежа не должно превышать 420 символов;Төлемнің белгіленуі 420 символдан аспауы тиіс;paymentOrder_lessThen420Symbols;W
You already logged in;Вы уже вошли в систему;Сіз жүйеге кірдіңіз;login.UserAlreadyLoggedIn;W
Save template;Сохранить шаблон;Шаблонды сақтау;paymentOrder_updateTemplate;W
Opening balance;Входящий остаток;Кіріс қалдық;broughtForwardBalance;W
Password does not match the mask;Пароль не соответствует маске;Құпиясөз маскаға сәйкеспейді;common_incorrectPass;W
Maximum length of 500 characters!;Максимальная длина 500 символов!;Максималды ұзындығы 500 символ!;global_settings.constants.validation.max.500;W
Notification recipients;Получатели  уведомления;Хабарлама алушылар;Notification_receivers;W
Details unit: Payment details;Блок реквизитов: Детали платежа;Деректемелер блогы: Төлемнің егжей- тегжейлері ;paymentDetailsBlock;W
Valid upon;Действует по;аралығында әрекет етеді;companyperson_certificate_to;W
No;Нет;Жоқ;boolean_false;W
Sender's account;Счет Отправителя;Жөнелтуші шоты;refunds.sender.acc;W
Account;Счет;Шот;paymentOrder_payerAccount;W
Fee details;Детали комисии;Комиссияның егжей-тегжейлері;intTransfer_feeDetail;W
Invoiced bills for payment;Invoiced bills for payment;Выставленные счета на оплату;invoiced.title;W
To;до;дейін;common_to;W
Social contribution refund;Возврат по социальному отчислению;Возврат по социальному отчислению;refunds.socialcontribution;W
Card unblock reason ;Причина разблокировки карты;Картаны бұғаттан шығару себебі;cardUnblockingReason;W
Your ibank account has been created, please click on the URL below to access it:;Your ibank account has been created, please click on the URL below to access it:;Your ibank account has been created, please click on the URL below to access it:;email.creation.text1;W
Cash sale;Наличный продажа;Қолма-қол сатылым;exchangeRates_cashSale;W
Expand;Развернуть;Ашу;common_Expand;W
In this document condition the signature is impossible;В данном состоянии документа подпись невозможна;Құжаттың бұл күйінде қол қою мүмкін емес;signature.cantBeSigned;W
Beneficiary Code;КБЕ;КБЕ;paymentOrder_recipientResidencyCode;W
Hide;Скрыть;Жасыру;common_hide;W
Day has been renewed ;День обновлён!;Күн жаңартылды!;dayIsUpdated;W
List of documents;Список документов;Құжаттар тізімі;document.list;W
New password;Новый пароль;Жаңа құпиясөз;personal_newPass;W
Rate of performance for;Курс исполнения по;аралығында орындау бағамы;accTransfer_rateTo;W
Chief Accountant;Главный Бухгалтер;Бас бухгалтер;CompanyPerson_ChiefAccountant;W
Balance of principal amount  in loan currency;Остаток основного долга в валюте займа;Қарыз валютасындағы негізгі қарыз қалдығы;balanceLoanCurrency;W
Manager;Менеджер;Менеджер;common_manager;W
Name of payer;Наименование плательщика;Төлеушінің атауы;domTransfer_payerName;W
Invoices issued to me;Счета выставленные мне;Маған тапсырылған шоттар;InvoiceOrder.list;W
View of transaction;Просмотр транзакции;Транзакцияны қарау;transactionsViewing;W
Name;Имя;Аты ;login_name;W
Confirm;Подтвердить;Растау;common_confirm;W
Calendars;Календари;Күнтізбелер;calendars;W
This field should contain 1 character!;Это поле должно содержать 1 символ!;Бұл жолда 1 белгі болуы тиіс!;common_field_atleast1char;W
Directory: Payment purpose;Справочник: Назначение платежа;Анықтамалық: Төлем арналымы;paymentOrder_handbookPaymentPurpose;W
ABS number;Номер АБС;АБЖ нөмірі;AbsNumber;W
Phone change;Изменить телефон;Телефонды  өзгерту;personal_changePhone;W
Parameters;Параметры;Параметрлер;jobs.parameter.title;W
Change of the password;Изменение пароля;Құпиясөзді өзгерту;personal_changingPass;W
Importing XML files for PCO;Импорту XML файлов для OTP;ОТР үшін XML файлдар импортына;otp.screen.import.title;W
SMS;SMS;SMS;login_factor_SMS;W
Date of courses latest update ;Дата последнего обновления курсов;Бағамдардың соңғы жаңару күні;exchangeRates_lastUpdDateTime;W
Valid to;Действует до;дейін әрекет етеді;sessions_expiry;W
BIN/IIN;БИН/ИИН;БСН/ЖСН;refunds.tax.code;W
Alpha-2 code;Двухбуквенный код;Екі әріптік код;twoLetterCode;W
Date to;Дата по;дейінгі күн;common_periodTo;W
The reason for blocking a card with this code already exists;Причина блокировки карты с таким кодом уже существует;Мұндай коды бар картаны бұғаттау себебі бұрыннан бар;cardBlockReasonExists;W
Social requisites;Реквизиты - Социальные отчисления;Реквизиты - Социальные отчисления;transferRequisites_socialRequisites;W
News;Новости;Жаңалықтар;navigation_news;W
Several values ​​from directory;Несколько значений из справочника;Анықтамалықтан бірнеше мән;global_settings.constants.handbook_multi_value;W
ATMs/Branches/Terminals;Банкоматы/отделения/терминалы;Банкоматтар/бөлімдер/терминалдар;atmBranchesTerminals;W
Length should be 20 characters;Длина должна составлять 20 символов.;Ұзындығы 20 символды құрауы тиіс;paymentOrder_valid_20chars;W
Update;Обновить;Жаңалау;common_update;W
Changing the payment destination;Изменение назначения платежа;Төлемнің белгіленуін өзгерту;paymentOrder_changingThePurpose;W
Bank's BIC;БИК Банка;Банктің БСК;common_bankCode;W
Synchronize;Синхронизировать;Синхрондау;sync;W
Edit name;Изменить название;Атауын өзгерту;changeName;W
Days before the event;Дней до события;Оқиғаға дейінгі күндер;notification_period;W
Printing;Печатать;Басып шығару;common_Print;W
Region;Регион;Аймақ;common_region;W
Actions ;Действия;Әрекеттер;operationsWithSystemModule;W
Commission fee;Счет взимания комиссии;Комиссия алу шоты;intTransfer_feeAccount;W
For signature;На подпись;Қол қоюға;action_sendForSignature;W
View and Editing of multifactor authorization type;Просмотр и редактирование типов многофакторной авторизации;Көпфакторлы авторландыру типін қарау және редакциялау;authfactoredit_title;W
Reason for recall;Причина отзыва;Кері шақыртып алу себебі;withdraw_reason;W
Patronymic;Отчество;Әкесінің аты;paymentOrder_middleName;W
General;Общие;Жалпы;rolePermissions_common;W
User's full name;ФИО пользователя;Пайдаланушының аты-жөні;customerInitials;W
Filter settings;Настройки фильтра;Сүзгіні  баптаулар;filterSettings;W
Print of application;Печать заявления;Өтінішті басып шығару;demandCreate_print;W
Create a Document Status;Создание Статуса документа;Құжат мәртебесін жасау;creatingDocStatus;W
Transfer between own accounts / currency conversion;Перевод между своими счетами / Конвертация валюты;Өз шоттары арасындағы аударым / Валютаны конвертациялау;paymentOrder_addNewAccountTransfer;W
Operations;Операции;Операциялар;common_operations;W
Additional verification upon;Дополнительная проверка по;Дейінгі қосымша тексеру;common_additionalCheckingBy;W
Sign;Подписать;Қол қою;common_sign;W
View and Editing of manager data;Просмотр и редактирование данных менеджера;Менеджер деректерін қарау және редакциялау;manager_editor_title;W
All;Все;Бәрі;global_settings.constants.group.all;W
The status of a document with this code already exists;Статус документа с таким кодом уже существует;Мұндай коды бар құжат мәртебесі бұрыннан бар;docStatusWithSameCodeAlreadyExists;W
Name of the bank;Наименование банка;Банктің атауы;transferRequisites_recipientBankName;W
Editing;Редактировать;Редакциялау;common_edit;W
Card replenishment;Пополнение карты;Картаны толтыру;cardReplenishment;W
Active;Активен;Белсенді;organization.grid.active;W
International name;Интернациональное название;Интернационалды атауы;district_intName;W
Day is saved;День сохранён!;Күн сақталды!;dayIsSaved;W
Full name of the user;Ф.И.О. Пользователя;Пайдаланушының аты-жөні;events_executorname;W
Additory account;Дополнительный аккаунт;Қосымша аккаунт;additionalAccount;W
Working day;Рабочий день;Жұмыс күні;DayResource.WorkingВay;W
User;Пользователь;Пайдаланушы;customerUser_user;W
Type of deposit;Вид депозита;Депозит түрі;depositType;W
Directory: Currency ;Справочник: Валюта;Анықтамалық: Валюталар;currency_handBooktitle;W
Code;Код;Код;common_code;W
calendars selected;календарей выбрано;күнтізбелер таңдалды;calendarsSelected;W
Actions ;Действия;Әрекеттер;operationsWithLetterType;W
Predefined value;Predefined value;Predefined value;global_settings.constants.predefined_value;W
View of application;Просмотр заявления;Өтінішті қарау;demandCreate_ViewDemand;W
Repeat new password;Повтор нового пароля;Жаңа құпиясөзді қайталау;personal_confirmNewPass;W
Product name;Название продукта;Өнімнің атауы;productName;W
Amount up to;Сумма до;... дейінгі сома;invoice_amount_to;W
Schedule;Схема;Сызба;signingrules_schema;W
Amount by;Сумма по;.... қоса сомасы;domTransfer_amountTo;W
Create a new reason for unblocking the card;Создать новую Причину разблокировки карты;Картаны бұғаттан шығарудың жаңа себебін жасау;createCardUnblockReason;W
Invoices from me;Выставленные мной счета;Мен ұсынған шоттар;exposedorder_name;W
Quick link;Быстрая ссылка;Жылдам сілтеме;quick_link;W
The new password was entered incorrectly;Новый пароль введен не правильно;Жаңа құпиясөз дұрыс енгізілген жоқ;login.NewPasswordIncorrect;W
Show balance of all loans;Показать остаток по всех кредитам;Барлық кредиттер бойынша қалдықты көрсету;showAllCreditsBalance;W
Fax;Факс;Факс;fax;W
Tasks;Задачи;Тапсырмалар;navigation_jobs;W
Number;Номер;Нөмір;invoice_number;W
Registration of a new manager;Регистрация нового менеджера;Жаңа менеджерді тіркеу;manager_new_title;W
View of the country;Просмотр страны;Елді қарау;countryViewing;W
Address;Адрес;Мекенжай;intTransfer_recipientBankAddress;W
Returns;Returns;Returns;navigation_refunds;W
Error. The digital signature did not pass verification!;Ошибка. Цифровая подпись не прошла проверку!;Қателер: Сандық қолтаңба тексеруден өтпеді!;docSigning_errorSignatureInvalid;W
Editing of international payments template ;Просмотр \ Редактирование  Шаблона международного платежа;Халықаралық төлем Шаблонын қарау / Редакциялау ;intTransfer_EditTemplate;W
Categories of applications;Категории заявлений;Өтініш санаттары;navigation_labelReference;W
View and Editing of the country;Просмотр и редактирование страны;Елді қарау және редакциялау;viewingEditingCountry;W
Invalid password format;Не правильный формат пароля;Құпиясөз форматы дұрыс емес;common.validation.password.pattern;W
Country;Страна;Ел;common_country;W
The name should not exceed 500 characters;Наименование не должно превышать 500 символов;Атауы 500 символдан аспауы тиіс;nameNoMore500Symbols;W
Transfer/ currency conversion;Перевод/конвертация валюты;Валюта аударымы/конвертациясы;actions_currencyTransferConversion;W
Application for early loan repayment;Заявка на досрочное погашение кредита;Кредитті мерзімінен бұрын өтеуге өтінім;actions_earlyRepaymentOrder;W
User type;Тип пользователя;Пайдаланушы типі;sessions_usertype;W
Rerun date;Дата повторения;Қайталау күні;standing.order.standingDate;W
International address. Postal code;Международный адрес. Почтовый индекс;Халықаралық  мекенжай. Пошталық индекс;common_addressIntZip;W
View pension contribution;Просмотр Пенсионноого отчисления;Просмотр Пенсионноого отчисления;paymentOrder_viewPensionContribution;W
New invoice issue;Выставление нового счета;Жаңа шотты ұсыну;invoice_createNew;W
Total balance;Общий остаток;Жалпы қалдық;common_balance;W
Editing;Редактировать;Редакциялау;organization.grid.change;W
Hide closed deposits;Скрыть закрытые депозиты;Жабық депозиттерді жасыру;hideClosedDeposits;W
Login;Логин;Логин;sessions_login;W
Calculate VAT;Рассчитать НДС;ҚҚС есептеу;paymentOrder_calculateVat;W
Template name;Имя шаблона;Шаблонның аты;document.templateName;W
Send to bank;Отправить в банк;Банкке жөнелту;action_sentToBank;W
View and Editing of card blocking reason;Просмотр и редактирование Причины блокировки карты;Картаны бұғаттау себептерін қарау және редакциялау;viewingEditingCardBlockReason;W
Cashless;БЕЗНАЛИЧНЫЙ;ҚОЛМА-ҚОЛСЫН;CASHLESS;W
Owner (DN);Владелец (DN);Иесі (DN);companyperson_certificate_subjectDN;W
User sessions;Сессии пользователей;Пайдаланушылар сесииялары;navigation_sessions;W
Invalid format;Неверный формат;Дұрыс емес формат;paymentOrder_valid_wrongFormat;W
Add authorized person;Добавить уполномоченное лицо;Добавить уполномоченное лицо;companyPersons_add;W
Date and time;Дата и время;Күні мен уақыты;documentHistory_date;W
Credit name;Название кредита;Кредиттің атауы;creditName;W
Block;Заблокировать;Бұғаттау;common_deactivate;W
Number;Номер;Нөмір;common_number;W
View currency rates;Просмотр Курсов валют;Валюта курсын қарау;exchangeRates_view;W
Publish;Опубликовать;Жариялау;createDemandType_publish;W
Delete current field;Удалить текущее поле;Ағымдағы жолды алып тастау;createDemandType_deleteCurrentField;W
Non-cash cross-rate;Кросс-курс безналичный;Кросс-бағам қолма-қолсыз;exchangeRates_cross;W
Account for debt repayment;Счет погашения задолженности;Берешекті өтеу шоты;debtsRepaymentAccount;W
The end;конец;соңы;ENDLowerCase;W
Comment;Комментарий;Түсініктеме;EventsExcelCreator.Comment;W
SMS;SMS;SMS;authfactorcreate_SMS;W
Application filter settings;Настройки фильтра заявлений;Өтініштер сүзгісін баптаулар;demand_filter;W
Cash purchase;Покупка Наличный;Қолма-қол ақшамен сатып алу;CASH_PURCHASE;W
Create of the City;Создание Города;Қала жасау;creatingCity;W
Chief Accountant;Гл. бухгалтер;Бас бухгалтер;paymentOrder_payerChiefAccountant;W
Correspondent account of the bank;Корреспондентский счёт банка;Банктің корреспонденттік шоты;banks_correspondentBankAccount;W
Contract date;Дата контракта;Келісім-шарт күні;common_contractDate;W
Log on with;Вход с;бастап кіру;companyperson_validfrom;W
Log in by EDS;Войти по ЕЦП;ЭСҚ бойынша кіру;login__signaturetab;W
Document recall;Отзыв документа;Құжатты кері шақырту;withdraw_doc;W
